企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
株式会社エスシーサポート,1240001047429,,福岡県福岡市博多区麦野４丁目１１番１８号,50,2015,,立間章一,
イリソ電子工業株式会社,1020001053696,コネクタの開発、製造及び販売,神奈川県横浜市港北区新横浜２丁目１３番地８,642,,,鈴木仁,http://www.iriso.co.jp/
グリーンシッピング株式会社,1250001005360,船舶代理業・曳船業・通関倉庫業,福岡県北九州市門司区港町１番５号,133,1930,,津江耕治,http://www.greenship.co.jp/
シンカ株式会社,1290001001769,,福岡県福岡市南区清水２丁目１５番１８号,180,1981,,八谷博之,
株式会社福岡銀行,1290001004367,銀行業,福岡県福岡市中央区天神２丁目１３番１号,5449,,,頭取五島久,http://www.fukuokabank.co.jp/index.html
株式会社ニシコー,1290001009498,,福岡県福岡市中央区渡辺通２丁目９番２２号,220,1970,,園田利美津,
林兼エスト株式会社,1290001009738,石油製品の販売（小売・卸売）,福岡県福岡市中央区渡辺通４丁目１０番１０号,338,1950,,山本義一,https://www.h-est.co.jp/
株式会社インフォグラム,1290001011611,ソフトウェアの開発,福岡県福岡市博多区博多駅前２丁目１７番１９号,65,1991,,宮川敬亮,
株式会社医療事務サービス,1290001011660,医療事務代行,福岡県福岡市博多区博多駅前３丁目８番１０号５Ｆ,370,1983,,星川光明,
株式会社キューオキ,1290001012337,,福岡県福岡市南区井尻４丁目２８番１８号,51,1971,,廣島将登,
九州総合サービス株式会社,1290001012411,,福岡県福岡市博多区美野島３丁目１番２８号,500,1964,,真崎俊昭,
建設サービス株式会社,1290001012989,建設業,福岡県福岡市博多区博多駅東１丁目１７番２５号,251,1967,,永重雅守,
株式会社カンサイ,1290001012221,電気設備資材、住宅設備機器、省エネシステム商品の総合卸売業,福岡県福岡市博多区東比恵３丁目３２番１５号,210,1954,,本多利行,http://kansaihd.co.jp
博多湾環境整備株式会社,1290001015728,港湾土木に関する事業、建築物の清掃、保管、警備その他の維持管理、土木・しゅんせつ・造園工事業、廃船処理に関する事業、海の,福岡県福岡市博多区沖浜町１２番１号,74,1983,,石橋宏典,https://www.kankyou-seibi.co.jp/
空研工業株式会社,1290001007221,"・冷却塔の製造・販売
・空調機器の販売
・管工事業",福岡県福岡市中央区大濠公園２番３９号,452,1956,,楢木隆,http://www.kuken.com
株式会社リサーチアンドソリューション,1290001017278,"ソフトウェア開発・販売
間接業務支援",福岡県福岡市博多区上呉服町１２番３３号,237,1979,,清見光生,http://www.rands-co.com
福博綜合印刷株式会社,1290001016263,印刷業,福岡県福岡市博多区堅粕３丁目１６番１４号,182,1950,,原健之,http://www.fsp.co.jp
福岡センコー運輸株式会社,1290001019349,貨物自動車運送業,福岡県福岡市東区箱崎ふ頭２丁目２番４１号,180,1970,,坂口宏司,
ＪＲ九州商事株式会社,1290001019794,"１　鉄道資材の販売
２　建設・建築資材の販売
３　事務用機器、家具、備品・消耗品の販売
４　種類及び食料品の販売
５　金",福岡県福岡市博多区博多駅前２丁目１７番１号,133,1976,,山下信二,
メディアファイブ株式会社,1290001018160,"・ソリューション事業
 　ソフトウェアの受託開発
 　ITエンジニアの人材提供
 　OFFICE DOCTORサービス提",福岡県福岡市中央区薬院１丁目１番１号,235,,,河野活,http://www.media5.co.jp/index.html
ホシザキ北九株式会社,1290001016577,業務用厨房機器の販売及びメンテナンス,福岡県福岡市博多区博多駅南３丁目１８番９号,516,1969,,中村隆裕,http://www.hoshizaki-kitakyu.co.jp/
株式会社ジェイウェイブ,1290001020686,,福岡県福岡市博多区博多駅前２丁目９番２８号,2460,1999,,山下智裕,
株式会社オービット,1290001020645,,福岡県福岡市博多区元町１丁目７番１２号,61,1981,,上野裕次,
イワタニ九州株式会社,1290001024695,"九州地区におけるご家庭を中心に、レストラン、工場等
にLPガスを供給し、暮らし育み、産業を支え、時代を拓
き、皆様から信",福岡県福岡市博多区榎田２丁目２番３号,195,1998,,小林実,
株式会社ＩＮＧ・ワールド,1290001026378,,福岡県福岡市西区大字橋本４８７番地２,132,1995,,石橋龍二,
株式会社セイビ九州,1290001014110,ホテル清掃・建物管理など,福岡県福岡市博多区博多駅前１丁目１９番３号,996,1975,,森永幸次郎,http://www.seibiq.co.jp/
株式会社アカシヤビルサービス,1430001000384,建物清掃業,北海道札幌市白石区菊水五条１丁目４番３４号,146,1974,,三浦貴之,
池田煖房工業株式会社,1430001001267,設備工事業,北海道札幌市北区北十二条西３丁目２番２０号,188,1955,,池田薫,http://www.ikedan.co.jp/
岡本興業株式会社,1430001003222,砕石業,北海道札幌市南区真駒内本町１丁目１番１号,133,1963,,岡本敏秀,
株式会社ビルマネージメント,1290001025818,ビルメンテナンス,福岡県福岡市博多区東光２丁目３番２０号,251,2001,,藤井正一,http://www.buil-manage.com
株式会社開発工営社,1430001003528,,北海道札幌市中央区北四条西５丁目１番地,165,1975,,高橋公浩,
札商美装興業株式会社,1430001006811,ビルメンテナンス業,北海道札幌市中央区南四条西１０丁目１００５番地１,200,1966,,高橋成典,http://www.sassho.co.jp/index.html
株式会社清風堂,1430001008691,ビルメンテナンス,北海道札幌市東区北十六条東１丁目２番１５号,430,1984,,岩田哲明,
株式会社じょうてつ,1430001007925,"一般乗合旅客自動車運送業
一般貸切旅客自動車運送業
不動産業
物品販売業",北海道札幌市白石区東札幌一条１丁目１番８号,397,,,原田寛,http://www.jotetsu.co.jp
株式会社アルテクス,1290001023417,受託設計業、人材派遣業,福岡県福岡市早良区百道浜２丁目１番２２号,324,2003,,竹内巧,https://altecs.com/
株式会社なの花北海道,1430001005219,保険調剤薬局運営、一般用医薬品および健康食品の販売,北海道札幌市中央区北九条西２４丁目３番１２号,1121,1995,,大倉康,https://www.nanohana-ph.jp/company/nanohana-hokkaido.php
日本乾溜工業株式会社,1290001028382,建設業,福岡県福岡市東区馬出１丁目１１番１１号,209,1939,,兼田智仁,http://www.kanryu.co.jp/
株式会社シムス,1430001009847,ビルメンテナンス、介護事業、看護小規模多機能型居宅介護、札幌市指定管理者・北老人福祉センター、障害児児童デイサービス・放,北海道札幌市白石区本郷通３丁目南４番１１号,298,1978,,河渕大輔,
株式会社通電技術,1430001010557,,北海道札幌市白石区平和通２丁目北１１番２０号,68,1988,,楠美宗城,https://tsuuden.co.jp/
株式会社ミライト・モバイル・イースト,1430001012727,,北海道札幌市東区伏古五条５丁目４番１５号,340,1973,,明石孝之,
北菱産業埠頭株式会社,1430001015614,セメント・生コンクリート・二次製品等建設資材販売、砕石・砂利等骨材販売、ビル・マンション等の清掃・警備・駐車場等の総合管,北海道札幌市北区北三十一条西４丁目１番１４号,385,1957,,田中義久,
株式会社双葉工業社,1430001015201,"●営業品目
　1.送電用、無線用鉄塔(アングル型、鋼管型各種)
  2.発電用、変電用、その他鉄鋼、架台
　3.配電、通",北海道札幌市東区北二十二条東１丁目１番５０号,143,1957,,阿部司,http://www.k-futaba.co.jp/
北盛電設株式会社,1430001014789,建設業（電気設備工事）,北海道札幌市中央区北七条西２０丁目１番１５号,53,1952,,稲津亘,http://www.hokusei-ds.co.jp
株式会社クリーンコーポレーション,1430001005061,総合ビルメンテナンス,北海道札幌市中央区南二十二条西６丁目２番２５号エムズ南２２条第３ビル４階,713,1991,,久保政義,http://www.clean-corp.co.jp
株式会社モロオ,1430001017032,○医薬品、検査試薬、健康食品、ＯＡ機器の卸売販売　　○コンピューターシステム・ソフト開発および販売　　　○福祉用具のレン,北海道札幌市中央区北三条西１５丁目１番地の５０,665,1949,,師尾忠和,http://www.moroo.co.jp/
株式会社アークス,1430001018377,,北海道札幌市中央区南十三条西１１丁目２番３２号,105,,,・横山清,
株式会社アインホールディングス,1430001020787,ドラックストア、調剤薬局,北海道札幌市白石区東札幌五条２丁目４番３０号,226,1969,,大谷喜一,
マックスバリュ北海道株式会社（閉鎖）,1430001020267,,北海道札幌市中央区北八条西２１丁目１番１０号,1110,,,出戸信成,
日本ニューホランド株式会社,1430001021026,,北海道札幌市中央区北一条西１３丁目４番地,577,1970,,芝本政明,
日本高圧コンクリート株式会社,1430001020829,"コンクリート2次製品の製造販売
橋梁の設計・施工
その他付随工事",北海道札幌市中央区北三条西３丁目１番地５４,304,1936,,小笠原昌平,https://www.nihonkoatsu.co.jp/
株式会社ユニテック,1430001021645,"情報計測事業
コンサルタント事業",北海道札幌市中央区宮の森二条１丁目７番２号宮の森ＫＬビル,81,1977,,藤井紀綱,
ＡＬＳＯＫ北海道株式会社,1430001021959,,北海道札幌市北区北七条西４丁目３番地１,750,1975,,長尾昭,
株式会社北海道日立,1430001022461,電気機械器具卸売並びに附帯する工事,北海道札幌市東区北五条東５丁目１番地１１,112,1962,,田中一雄,
株式会社北海道ダイケン,1430001022180,"ビルメンテナンス業 
・ビル及び設備に関する維持管理サービス業務 
・清掃サービス業務 
・セキュリティサービス業務",北海道札幌市中央区北一条西２丁目１番地,530,1987,,金子宗典,
株式会社エコミック,1430001023947,,北海道札幌市中央区大通西８丁目１－１大通あおばビル,154,1997,,熊谷浩二,
中道リース株式会社,1430001024094,,北海道札幌市中央区北一条東３丁目３番地,180,1948,,関崇博,
株式会社プライムツーワン,1430001026974,保育所運営,北海道札幌市豊平区月寒東五条１０丁目３番３号,1313,1996,,佐藤範夫,
セントラルリーシングシステム株式会社,1430001024268,,北海道札幌市中央区大通西６丁目１０番地１,474,1988,,阿部直志,
ビットスター株式会社,1430001037773,,北海道札幌市中央区南一条西４丁目５番地１,110,2008,,前田章博,
株式会社調和技研,1430001041759,ITサービス全般,北海道札幌市中央区南二条西１２丁目３２４番地２　９０２,57,2009,,中村拓哉,http://www.chowagiken.co.jp/
北燃商事株式会社,1430001046650,ＬＰガス、灯油、燃焼器具、家電製品、住宅設備関連商品の卸小売、ガス配管、冷暖房工事、営繕工事,北海道岩見沢市八条東１丁目３番地,251,1961,,藤本浩之,
