企業名,法人番号,新卒フラグ,掲載媒体,掲載媒体数,採用予定人数,取得日,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠
株式会社日立ソリューションズ東日本,1370001009911,○,,0,,2026-06-14,○,https://www.hitachi-solutions-east.co.jp/recruitment/,○,営業,,top-anchor
日本製紙石巻テクノ株式会社,1370301000974,,,0,,2026-06-14,,,,,,
仙台トヨペツト株式会社,1370001006652,○,,0,,2026-06-14,○,https://www.p-sendai.co.jp/recruit/graduates,○,営業/総合職/販売,,top-anchor
株式会社復建技術コンサルタント,1370001010010,○,,0,,2026-06-14,○,https://www.fgc.jp/recruit_top/,○,,,top-anchor
積水ハウスシャーメゾンＰＭ東北株式会社,1370001011272,,,0,,2026-06-14,○,https://www.sekisuihouse-f-tohoku.co.jp/recruit/,,,sekisuihouse-f.jp,common-path
古川電気工業株式会社,1370001006009,○,,0,,2026-06-14,○,https://furukawa-denki.com/recruit/,○,エンジニア,,top-anchor
宮城中央ヤクルト販売株式会社,1370801000276,,,0,,2026-06-14,,,,,,
株式会社ひまわり,1370601003025,,,0,,2026-06-14,,,,,,
宮城熊さん株式会社,2370001002378,,,0,,2026-06-14,,,,,,
東北放送株式会社,2370001002452,,,0,,2026-06-14,,,,,,
ユキグニファクトリー株式会社,1010001185037,,,0,,2026-06-14,,,,,,
株式会社シバタインテック,2370001003186,,,0,,2026-06-14,,,,,,robots-disallow
株式会社倉元製作所,1370201003004,,,0,,2026-06-14,,,,,,top-fetch-failed
若生工業株式会社,1370301001436,,,0,,2026-06-14,○,http://www.wakoinc.co.jp/recruit/index.html,,営業/技術職/事務/施工管理/介護,,top-anchor
ラミコジャパン株式会社,1110001003295,,,0,,2026-06-14,,,,,,
株式会社トップカルチャー,1110001003592,,,0,,2026-06-14,,,,,,
カガク興商株式会社,1370301000322,,,0,,2026-06-14,○,http://www.kagaku-k.co.jp/recruit.html,,販売,mynavisendai-ladies.jp,top-anchor
株式会社新潟電装,1110001003956,,,0,,2026-06-14,,,,,,
ＵＤトラックス新潟株式会社,1110001007255,,,0,,2026-06-14,,,,,,
共栄エンジニアリング株式会社,1110001012362,,,0,,2026-06-14,,,,,,
東北特殊鋼株式会社,2370001002444,,,0,,2026-06-14,○,https://www.tohokusteel.com/recruit/,,総合職,,top-anchor
森井紙器工業株式会社,1110001016140,,,0,,2026-06-14,,,,,,
株式会社大原鉄工所,1110001022254,,,0,,2026-06-14,,,,,,
越後交通株式会社,1110001022221,,,0,,2026-06-14,,,,,,
株式会社大谷商会,1110001000879,,,0,,2026-06-14,○,https://www.otani-shokai.com/recruit/,,エンジニア,recruit.otani-shokai.com,common-path
仙台ガスサービス株式会社,1370001006710,,,0,,2026-06-14,○,https://www.sgs-jp.net/recruit,,営業/技術職/事務,,top-anchor
株式会社太陽工機,1110001022782,,,0,,2026-06-14,,,,,,
株式会社トーシス新潟,1110001003477,,,0,,2026-06-14,○,https://www.ts-niigata.co.jp/recruit/index.html,,営業/企画/施工管理,,top-anchor
環境をサポートする株式会社きらめき,1110001001720,,,0,,2026-06-14,○,https://kirameki.co.jp/error/?e=404,,,1049.cc,common-path
株式会社有沢製作所,1110001018789,,,0,,2026-06-14,○,https://www.arisawa.co.jp/jp/recruit/inquiry.html,,,arisawa-saiyo.com,top-anchor
中越運送株式会社,2110001003294,,,0,,2026-06-14,,,,,,
株式会社キタック,2110001001637,,,0,,2026-06-14,○,https://kitac.co.jp/recruit/,,コンサル,,top-anchor
株式会社グリーン美装,1100001000855,,,0,,2026-06-14,,,,,,
グリーン産業株式会社,2110001001769,○,,0,,2026-06-14,○,https://www.green-s.co.jp/recruit/,○,営業/事務/施工管理/介護/コンサル,job.rikunabi.com,top-anchor
東京法令出版株式会社,1100001002125,,,0,,2026-06-14,,,,,,
株式会社ナガレイ,1100001001333,,,0,,2026-06-14,,,,,,
株式会社高助,2110001003113,○,,0,,2026-06-14,○,https://www.takasuke-n.co.jp/recruit/,○,営業,,top-anchor
株式会社イートラスト,1110001022452,○,,0,,2026-06-14,○,https://www.etrust.ne.jp/recruit/,○,,,top-anchor
長野リネンサプライ株式会社,1100001002554,,,0,,2026-06-14,,,,,,
株式会社スズキ自販長野,1100001001580,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社長野ナブコ,1100001002471,,,0,,2026-06-14,,,,,,
八十二リース株式会社,1100001002835,,,0,,2026-06-14,,,,,,
不二越機械工業株式会社,1100001002967,,,0,,2026-06-14,,,,,,
株式会社電算,1100001002083,○,,0,,2026-06-14,○,https://www.ndensan.co.jp/recruit/,○,エンジニア/営業/総合職/販売/マーケティング,,top-anchor
株式会社ＳＲＩ,2110001002817,,,0,,2026-06-14,○,https://www.sri-group.work/srigroup-recruit/,,営業/コンサル,,top-anchor
サクラ精機株式会社,1100001006191,○,,0,,2026-06-14,○,https://www.sakurajp.com/recruit,○,販売/マーケティング,job.mynavi.jp/ten.1049.cc,top-anchor
双信電機株式会社,1100001008031,,,0,,2026-06-14,,,,,,
株式会社竹花組,1100001007330,○,,0,,2026-06-14,○,https://www.takehanagumi.co.jp/recruit/entry/,○,,en-gage.net/instagram.com,top-anchor
株式会社ユーシン,1010401030214,○,,0,,2026-06-14,○,https://www.u-shin-ltd.com/recruit/tabid/245/Default.aspx,○,営業,minebeamitsumi.com,top-anchor
日精樹脂工業株式会社,1100001011530,○,,0,,2026-06-14,○,https://www.nisseijushi.co.jp/recruit/,○,営業/技術職/企画/介護/看護,,top-anchor
株式会社ウィルトス,1100001014129,,,0,,2026-06-14,,,,,,
中日本メディカルリンク株式会社,1100001015044,,,0,,2026-06-14,,,,,,
株式会社アスピア,1100001014038,○,,0,,2026-06-14,○,https://asupia.co.jp/recruit/,○,,job.mynavi.jp,top-anchor
株式会社鈴勇商店,1370301000702,,,0,,2026-06-14,,,,,,no-recruit-link
木下建設株式会社,1100001022395,,,0,,2026-06-14,,,,,,
株式会社デリクックちくま,1100005001461,,,0,,2026-06-14,,,,,,
高沢産業株式会社,2100001001852,,,0,,2026-06-14,,,,,,
長野日産自動車株式会社,2100001002470,,,0,,2026-06-14,,,,,,
長野日野自動車株式会社,2100001002512,,,0,,2026-06-14,,,,,,
信越放送株式会社,2100001001266,,,0,,2026-06-14,,,,,,robots-disallow
株式会社エラン,1100001014640,,,0,,2026-06-14,○,https://www.kkelan.com/contact/recruit/,,事務,recruit.kkelan.com,common-path
岐阜プラスチック工業株式会社,1200001001471,○,,0,,2026-06-14,○,https://www.risu.co.jp/recruit/,○,営業/事務/企画/販売/マーケティング,,top-anchor
株式会社トコロ,1200001003699,,,0,,2026-06-14,,,,,,
ＫＯＡ株式会社,1100001020696,,,0,,2026-06-14,○,https://www.koaglobal.com/recruit/recruiting_new,,営業,,top-anchor
株式会社市川工務店,1200001000374,○,,0,,2026-06-14,○,https://www.ic-group.co.jp/recruitment/,○,営業/総合職/事務/施工管理,,top-anchor
糸魚川二幸株式会社,1110001021875,,,0,,2026-06-14,,,,,,no-recruit-link
富士変速機株式会社,1200001004458,○,,0,,2026-06-14,○,https://www.fujihensokuki.co.jp/recruit/career/,○,営業/事務/施工管理/介護/看護,,top-anchor
株式会社水野鉄工所,1200001005217,,,0,,2026-06-14,○,https://www.miztec.jp/recruit,,技術職,,top-anchor
株式会社人材Ｂａｎｋ,1200001008475,,,0,,2026-06-14,,,,,,
株式会社ユニオン,1200001005687,○,,0,,2026-06-14,○,https://www.theunion.co.jp/recruit/,○,コンサル,,top-anchor
大垣ガス株式会社,1200001013368,,,0,,2026-06-14,,,,,,
株式会社可児ゴルフ倶楽部,1200001017708,,,0,,2026-06-14,,,,,,
セブン工業株式会社,1200001017170,○,,0,,2026-06-14,○,https://www.seven-gr.co.jp/recruit/,○,営業/事務,,top-anchor
株式会社ワークリレーション,1200001006017,,,0,,2026-06-14,○,https://www.work-re.com/page_search/?em-status--slug=temporary-staff,,エンジニア/営業/事務/企画/施工管理,,top-anchor
レシップ株式会社,1200001020323,,,0,,2026-06-14,,,,,,
セキュリティ東海株式会社,1200001020728,,,0,,2026-06-14,,,,,,
株式会社技研サービス,2200001001537,,,0,,2026-06-14,,,,,,
株式会社共和コーポレーション,1100001000797,,,0,,2026-06-14,○,https://kyowa-corp.saiyo-job.jp/tpkj/recruit/,,,kyowa-corp.saiyo-job.jp,external-only
キッセイ薬品工業株式会社,1100001012982,○,,0,,2026-06-14,○,https://recruit.kissei.co.jp/graduate/,○,技術職/企画/介護/看護/販売,recruit.kissei.co.jp,common-path
中日技研株式会社,2200001003401,,,0,,2026-06-14,,,,,,
株式会社岐阜新聞社,2200001001347,○,,0,,2026-06-14,○,https://www.gifu-np.co.jp/list/company/recruit,○,営業/技術職/企画/販売,hr-hacker.com,top-anchor
株式会社美濃庄,2200001005273,,,0,,2026-06-14,,,,,,
株式会社那加クレーンセンター,2200001007088,,,0,,2026-06-14,,,,,,
株式会社ヒロコーポレーション,2200001008111,,,0,,2026-06-14,,,,,,
株式会社浅井農園,1190001000038,,,0,,2026-06-14,,,,,,
百五ビジネスサービス株式会社,1190001000896,,,0,,2026-06-14,,,,,,
株式会社トピア,1190001005227,,,0,,2026-06-14,,,,,,
シンフォニア商事株式会社,1190001006712,,,0,,2026-06-14,,,,,,
株式会社中広,2200001003384,○,,0,,2026-06-14,○,https://chuco.co.jp/recruit,○,,,top-anchor
東濃建物管理株式会社,1200001017955,,,0,,2026-06-14,○,https://green-clean.jp/company/recruit/,,,,top-anchor
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,,,0,,2026-06-14,○,https://japan.ul.com/resources/career/,,,,top-anchor
チヨダウーテ株式会社,1190001015556,,,0,,2026-06-14,,,,,,
株式会社丸泰,1200001005051,,,0,,2026-06-14,○,https://recruit.maruyasu-gr.co.jp/lp/company/,,,recruit.maruyasu-gr.co.jp,external-only
株式会社三水フーズ,2190001006686,,,0,,2026-06-14,,,,,,
シンフォニアエンジニアリング株式会社,2190001006711,,,0,,2026-06-14,,,,,,
株式会社シー・ティー・ワイ,1190001015093,,,0,,2026-06-14,○,https://cty-cns.jp/news/recruitsite_renewal/,,,recruit.cty-cns.jp,top-anchor
株式会社東名,2190001015679,,,0,,2026-06-14,,,,,,
篠田株式会社,1200001011090,,,0,,2026-06-14,○,https://recruit.gifu-shinoda.co.jp/,,,recruit.gifu-shinoda.co.jp,external-only
株式会社スズキ自販滋賀,1160001001088,○,,0,,2026-06-14,○,https://www.suzuki.co.jp/dealer/sj-shiga/recruit/career-guideline/,○,営業,,top-anchor
第一設計監理株式会社,1160001004933,,,0,,2026-06-14,,,,,,
株式会社安永,1190001008733,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社三十三銀行,2190001010309,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社アイ・シー・エス,2190001006372,○,,0,,2026-06-14,○,http://www.ise-ics.co.jp/recruit,○,エンジニア/営業/技術職/事務/企画,,top-anchor
株式会社クラウン警備保障,1190001010920,,,0,,2026-06-14,,,,,,no-recruit-link
滋賀ダイハツ販売株式会社,1160001013406,,,0,,2026-06-14,,,,,,
滋賀日野自動車株式会社,1160001014544,,,0,,2026-06-14,,,,,,
昭和コンクリート工業株式会社,2200001002601,,,0,,2026-06-14,○,https://www.instagram.com/showa_con.recruit/,,,instagram.com/showa-recruit.jp,external-only
株式会社内田組,2160001000205,,,0,,2026-06-14,,,,,,
タカラバイオ株式会社,1160001002490,,,0,,2026-06-14,○,https://www.takara-bio.co.jp/ja/recruit.html,,,,top-anchor
近江鉄道株式会社,1160001008109,○,,0,,2026-06-14,○,https://www.ohmitetudo.co.jp/jobs/graduate/,○,営業/総合職/技術職/事務/企画,ohmitetudo-recruit.jp,top-anchor
株式会社アイテス,1160001016292,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社伊藤組,2160001009444,,,0,,2026-06-14,,,,,,
キタイ設計株式会社,2160001010600,,,0,,2026-06-14,,,,,,
島津産機システムズ株式会社,2160001000964,○,,0,,2026-06-14,○,https://www.sis.shimadzu.co.jp/recruit/,○,販売,,common-path
株式会社扇港電機,2190001015290,,,0,,2026-06-14,○,https://job.mynavi.jp/27/pc/search/corp73035/outline.html,,,job.mynavi.jp/recruit.senko-grp.co.jp,external-only
株式会社近畿予防医学研究所,2160001000535,,,0,,2026-06-14,○,https://www.kinkiyoken.co.jp/recruit/,,,career-cloud.asia,common-path
株式会社アサプリ,2190001013443,○,,0,,2026-06-14,○,https://www.asapri.co.jp/recruit/,○,エンジニア/営業/企画/デザイナー/販売,,top-anchor
アインズ株式会社,2160001010617,,,0,,2026-06-14,○,https://www.shiga-web.or.jp/eins/recruit/,,マーケティング,,top-anchor
キノンビクス株式会社,2160001013322,,,0,,2026-06-14,○,https://www.kinon.co.jp/recruit/saiyou-contact.shtml,,エンジニア/営業/施工管理,,top-anchor
三洋環境株式会社,1260001002712,,,0,,2026-06-14,,,,,,
株式会社トヨタレンタリース岡山,1260001004799,,,0,,2026-06-14,,,,,,
株式会社協同,1210001007526,,,0,,2026-06-14,○,https://www.kwl.co.jp/recruit.html,,営業/企画/マーケティング,,top-anchor
株式会社建美装社,1260001002282,,,0,,2026-06-14,○,https://recruit-kenbisosha.com/,,営業/事務,recruit-kenbisosha.com,common-path
エネサーブ株式会社,2160001003901,○,,0,,2026-06-14,○,https://www.eneserve.co.jp/company/career.html,○,営業/事務/施工管理/販売/コンサル,job.mynavi.jp,top-anchor
両備トランスポート株式会社,1250001004024,○,,0,,2026-06-14,○,https://ryobitransport.com/recruit/,○,,ryobi.gr.jp/ryobi-saiyo.com,top-anchor
株式会社中国銀行,1260001006093,,,0,,2026-06-14,○,https://www.chugin.co.jp/recruit/message_c/,,,,top-anchor
コーホク印刷株式会社,1260001002373,○,,0,,2026-06-14,○,https://www.kohhoku.co.jp/recruit_newgraduates/,○,営業/技術職/企画/販売,kohhoku.co.jp,top-anchor
株式会社グロップサンセリテ,1260001008354,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社ベネッセコーポレーション（閉鎖）,1260001011820,○,,0,,2026-06-14,○,https://www.benesse.co.jp/benesseinfo/saiyou.html,○,エンジニア,,top-anchor
株式会社コーセイカン,1260001013271,,,0,,2026-06-14,,,,,,
カーツ株式会社,1260001009187,,,0,,2026-06-14,○,https://www.kaaz.co.jp/recruit.html,,,,top-anchor
キヤノンマシナリー株式会社,2160001013058,,,0,,2026-06-14,○,https://machinery.canon/ja/about/recruit/information-career/index.html,,営業/技術職/看護,job.mynavi.jp,top-anchor
株式会社ジェイ・イー・ティ,1260001018766,,,0,,2026-06-14,,,,,,
株式会社エルジオ,1260001022339,,,0,,2026-06-14,,,,,,
株式会社ウインズ,1260001026406,,,0,,2026-06-14,,,,,,
中国精油株式会社,1260001004262,,,0,,2026-06-14,○,https://www.chusei-oil.com/recruit/entry/,,営業,job.mynavi.jp,top-anchor
株式会社アールエコ,2260001000161,,,0,,2026-06-14,,,,,,
株式会社クラレ,1260001013156,○,,0,,2026-06-14,○,https://www.kuraray.com/jp-ja/recruit/,○,事務,kuraray.co.jp/hrmos.co,top-anchor
株式会社アビィング,2260001000335,,,0,,2026-06-14,○,http://www.abeing.co.jp/req_entry/index.html,,営業,,top-anchor
山陽電研株式会社,2260001002678,○,,0,,2026-06-14,○,https://www.sanyodenken.co.jp/recruit/entrydata/index.html,○,営業,,top-anchor
株式会社カロスアウラ,2260001005391,,,0,,2026-06-14,,,,,,
Ｈｉクラテス株式会社,2260001004724,,,0,,2026-06-14,,,,,,
株式会社ホスネット・ジャパン,2260001006084,,,0,,2026-06-14,,,,,,
ジャパンマテリアル株式会社,2190001015191,,,0,,2026-06-14,○,https://www.jm-recruit.jp/,,,jm-recruit.jp,external-only
株式会社岡山マツダ,2260001006225,,,0,,2026-06-14,,,,,,
株式会社イタミアート,2260001008618,,,0,,2026-06-14,,,,,,
四国医療サービス株式会社,1490001000783,,,0,,2026-06-14,,,,,,
株式会社伊予鉄グループ,1500001000476,,,0,,2026-06-14,,,,,,
ＯＥＣ株式会社,2260001001143,○,,0,,2026-06-14,○,https://www.oec-o.co.jp/data/recruit_newgrad/,○,営業,,top-anchor
株式会社中島商会,2260001004880,○,,0,,2026-06-14,○,https://www.nakashima-shokai.co.jp/recruit/,○,営業/企画/施工管理,nakashima-shokai.co.jp/job.rikunabi.com,top-anchor
株式会社新来島どっく,1010001045595,,,0,,2026-06-14,○,https://www.skdy.co.jp/recruit/,,営業/企画,,top-anchor
愛媛トヨペット株式会社,1500001000807,○,,0,,2026-06-14,○,https://www.e-tp.jp/recruit_new/mid-career,○,エンジニア/営業/販売,,top-anchor
株式会社ウイン,1500001000617,○,,0,,2026-06-14,○,https://www.pro-win.co.jp/recruit/,○,,,top-anchor
株式会社山陽セフティ,1260001002654,,,0,,2026-06-14,○,https://www.facebook.com/sanyosafety,,,facebook.com,external-only
株式会社スズキ自販松山,1500001002274,○,,0,,2026-06-14,○,https://www.suzuki.co.jp/dealer/sj-matsuyama/recruit/,○,販売,,top-anchor
株式会社レデイ薬局,1500001004428,,,0,,2026-06-14,,,,,,
株式会社和光ビルサービス,1500001004626,,,0,,2026-06-14,,,,,,
株式会社岡山製紙,1260001001078,,,0,,2026-06-14,○,https://www.okayamaseishi-saiyo.jp/,,,okayamaseishi-saiyo.jp,external-only
株式会社トヨタレンタリース西四国,1500001002943,,,0,,2026-06-14,○,http://www.r-ehm.co.jp/recruit/,,,,top-anchor
ピコシステム株式会社,2260001005516,○,,0,,2026-06-14,○,https://www.picosystem.co.jp/recruit/,○,エンジニア/営業,,top-anchor
株式会社アグサス,1500001003735,,,0,,2026-06-14,○,https://www.agusas.co.jp/recruit/careers/,,,instagram.com,top-anchor
ＢＥＭＡＣ株式会社,1500001011226,,,0,,2026-06-14,○,https://bemac-recruit.com/,,,bemac-recruit.com,common-path
株式会社愛媛銀行,2500001000005,○,,0,,2026-06-14,○,https://www.himegin.co.jp/recruit/,○,エンジニア/コンサル,,top-anchor
株式会社松宮,1500001003909,○,,0,,2026-06-14,○,http://kk-matsumiya.com/?page_id=22,○,営業/事務,,top-anchor
井関農機株式会社,2500001000533,○,,0,,2026-06-14,○,https://recruit.iseki.co.jp/,○,営業/事務,recruit.iseki.co.jp,common-path
福泉株式会社,2500001003486,,,0,,2026-06-14,,,,,,
株式会社三井Ｅ＆Ｓテクニカルリサーチ,1260001022306,,,0,,2026-06-14,,,,,,no-recruit-link
瀬戸内運輸株式会社,2500001011778,,,0,,2026-06-14,,,,,,
愛媛トヨタ自動車株式会社,2500001000806,○,,0,,2026-06-14,○,https://www.ehime-toyota.co.jp/recruit,○,エンジニア/営業/企画/販売,,top-anchor
株式会社大昌鉃工所,2500001014698,,,0,,2026-06-14,,,,,,
九州警備保障株式会社,1330001001087,,,0,,2026-06-14,,,,,,
株式会社ビージョイ,2500001003387,○,,0,,2026-06-14,○,https://www.bejoy.jp/recruit/,○,営業/企画/介護/販売/マーケティング,bejoy-recruit.com,common-path
中島硝子工業株式会社,1260001018295,,,0,,2026-06-14,,,,,,no-recruit-link
フクダ電子西部南販売株式会社,1330001004032,,,0,,2026-06-14,,,,,,
熊本綜合管理株式会社,1330001001442,,,0,,2026-06-14,,,,,,
四国ガス燃料株式会社,2500001011654,○,,0,,2026-06-14,○,https://www.shikoku-gasnen.co.jp/recruit/sinsotu.html,○,総合職/販売,,top-anchor
ツバメ工業株式会社,2500001014715,,,0,,2026-06-14,○,https://www.8441.jp/recruit/entry,,営業/企画,,top-anchor
木村電機株式会社,1330001011094,,,0,,2026-06-14,,,,,,
株式会社旭製作所,1330001018362,,,0,,2026-06-14,,,,,,
ヒノマル株式会社,1330001027512,,,0,,2026-06-14,,,,,,
株式会社リブドゥコーポレーション,2500001014723,,,0,,2026-06-14,○,https://livedo.jp/recruit/information/challenged/,,営業/介護,,top-anchor
株式会社ＲＫＫＣＳ,2330001000063,,,0,,2026-06-14,,,,,,
株式会社九州開発エンジニヤリング,2330001001086,,,0,,2026-06-14,,,,,,
株式会社エムロード,2330001004502,,,0,,2026-06-14,,,,,,
白鷺電気工業株式会社,1330001002440,,,0,,2026-06-14,○,https://www.shirasagidenki.co.jp/,,,recruit-shirasagidenki.com,common-path
株式会社くまもと健康支援研究所,1330001007381,,,0,,2026-06-14,○,http://www.kwsi.co.jp/recruit/,,営業/総合職/事務/企画/介護,instagram.com,top-anchor
株式会社永野商店,2330001006960,,,0,,2026-06-14,,,,,,
株式会社野田市電子,2330001003693,,,0,,2026-06-14,○,https://www.nodaichi.co.jp/recruit/,,,,common-path
米善機工株式会社,2330001004873,,,0,,2026-06-14,○,https://www.yonezen.co.jp/recruit,,営業/事務/販売,recruit-bkd.com,common-path
富田薬品株式会社,2330001003264,,,0,,2026-06-14,○,https://www.tomita-pharma.co.jp/recruit/career/,,,job.rikunabi.com/job.mynavi.jp,top-anchor
株式会社前田産業,2330001004304,,,0,,2026-06-14,○,https://maedasangyo.co.jp/recruit/,,,,top-anchor
株式会社マイスティア,2330001009286,○,,0,,2026-06-14,○,https://www.meistier.co.jp/recruit/,○,エンジニア,,top-anchor
株式会社ＡＲＩＡＫＥ,3330001000228,,,0,,2026-06-14,,,,,,
クリーンペア九州株式会社,3330001001291,,,0,,2026-06-14,,,,,,
株式会社オカムラ,2330001012686,○,,0,,2026-06-14,○,https://okamura-tmc.co.jp/recruit/,○,営業,,top-anchor
株式会社日本ビル管理,2330001003529,,,0,,2026-06-14,○,http://nbkanri.co.jp/lp/recruit/,,,,top-anchor
株式会社栗之浦ドック,1500001008296,,,0,,2026-06-14,○,https://job.rikunabi.com/2020/company/r957581054/,,,job.rikunabi.com,external-only
熊本ダイハツ販売株式会社,3330001001507,,,0,,2026-06-14,○,https://kumamoto.dd.daihatsu.co.jp/Company/recruit,,営業/販売,,top-anchor
株式会社ヒライ,2330001009088,○,,0,,2026-06-14,○,https://www.hirai-wa.com/recruit/,○,,,top-anchor
株式会社愛媛新聞社,2500001000764,,,0,,2026-06-14,,,,,,no-recruit-link
内村酸素株式会社,3330001000450,○,,0,,2026-06-14,○,https://www.uchimura-sanso.co.jp/jobs/229/,○,営業/事務/看護,,top-anchor
株式会社鈴弥洋行,1380001005562,,,0,,2026-06-14,,,,,,
東邦福島株式会社,1380001009126,,,0,,2026-06-14,,,,,,
ユナイテッドトヨタ熊本株式会社,3330001003271,○,,0,,2026-06-14,○,https://www.united-toyotakumamoto.jp/recruit/,○,エンジニア/営業/販売,job.mynavi.jp,common-path
株式会社ＳＹＳＫＥＮ,3330001003635,○,,0,,2026-06-14,○,https://www.sysken.co.jp/recruit/mid-career/,○,エンジニア/施工管理/介護,,top-anchor
株式会社ユーケイデンタル,3330001004773,,,0,,2026-06-14,○,http://www.ukdental.co.jp/recruit,,営業,ukdental-recruit.com,top-anchor
ゼビオ株式会社,1380001025412,,,0,,2026-06-14,,,,,,
イワタニ南九州株式会社,3330001004550,,,0,,2026-06-14,○,https://www.mkm-marui.co.jp/form/entry_top.html,,,,top-anchor
朝日機工株式会社,2120001155226,,,0,,2026-06-14,,,,,,
株式会社エフコム,1380001004696,○,,0,,2026-06-14,○,https://www.f-com.co.jp/recruit/newgraduate/,○,エンジニア/営業/企画/介護/看護,,top-anchor
関場建設株式会社,1380001015636,○,,0,,2026-06-14,○,https://www.sekiba.co.jp/recruit/,○,営業/事務/企画/施工管理,,top-anchor
日産プリンス福島販売株式会社,2380001003516,,,0,,2026-06-14,,,,,,
東北アルフレッサ株式会社,2380001005082,,,0,,2026-06-14,,,,,,
福島建機株式会社,2380001006444,,,0,,2026-06-14,,,,,,
株式会社福島中央テレビ,2380001006502,,,0,,2026-06-14,,,,,,
株式会社こんの,2380001000505,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社福島情報処理センター,1380001006486,○,,0,,2026-06-14,○,https://fic.co.jp/recruitment/,○,営業,,top-anchor
グラントマト株式会社,2380001011667,,,0,,2026-06-14,,,,,,
常磐共同ガス株式会社,2380001012987,,,0,,2026-06-14,,,,,,
株式会社タイセークリーン,1380001005678,○,,0,,2026-06-14,○,https://taisee-clean.co.jp/recruit,○,営業,,top-anchor
株式会社幸楽苑,2380001005074,○,,0,,2026-06-14,○,https://hd.kourakuen.co.jp/recruiting-information,○,,kourakuen.recruitsite.net/kourakuen.saiyo-job.jp,top-anchor
株式会社ありがとうサービス,2500001012603,,,0,,2026-06-14,○,https://jp.indeed.com/cmp/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/jobs?clearPrefilter=1,,,jp.indeed.com/arigatou-saiyou.com,external-only
株式会社シマ商会,2380001015610,,,0,,2026-06-14,,,,,,
株式会社アンフィニ福島,1380001028720,,,0,,2026-06-14,○,https://anfini-f.co.jp/job/,,営業/事務,,top-anchor
東洋システム株式会社,2380001013457,,,0,,2026-06-14,○,https://toyo-system.co.jp/recruit/career/,,営業/事務/企画/介護/販売,,top-anchor
新常磐交通株式会社,2380001013060,,,0,,2026-06-14,○,https://www.joko.co.jp/recruit,,総合職,,top-anchor
サンセイ医機株式会社,1380001009159,,,0,,2026-06-14,○,https://www.sansei-iki.co.jp/recruit.php,,,olba.co.jp,top-anchor
コマツ福島株式会社,2380001021591,,,0,,2026-06-14,○,https://www.kics.co.jp/recruit,,営業/販売,,top-anchor
株式会社あけぼの印刷社,1050001000126,,,0,,2026-06-14,○,https://www.akebono-print.co.jp/2022/06/13/recruit-marketing/,,営業/企画/販売/マーケティング,recruit-akebono.com,common-path
株式会社常陽銀行,1050001001231,,,0,,2026-06-14,○,https://www.joyobank.co.jp/recruit/,,営業/コンサル,,common-path
株式会社アンドエスティＨＤ,1050001002254,○,,0,,2026-06-14,○,https://www.adastria.co.jp/recruit/,○,,recruit.adastria.co.jp/adastria-recruit.net,top-anchor
トヨタカローラ新茨城株式会社,1050001001867,,,0,,2026-06-14,○,https://www.corolla-si.com/recruit-top/companyPolicy,,営業/販売/マーケティング,,top-anchor
常洋水産株式会社,1050001001165,○,,0,,2026-06-14,○,https://www.joyosuisan.com/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1,○,,,top-anchor
株式会社ダイエツ,2380001017557,○,,0,,2026-06-14,○,https://daietsu.co/recruit/,○,事務/介護/看護/コンサル,,top-anchor
原子力エンジニアリング株式会社,1050001004639,○,,0,,2026-06-14,○,https://www.neco-net.co.jp/recruit/graduate/index.html,○,エンジニア/技術職,,top-anchor
株式会社クリーンジャックシステム,1050001009893,,,0,,2026-06-14,,,,,,
株式会社ＪＭホールディングス,1050001011577,,,0,,2026-06-14,,,,,,
株式会社ビック,2380001017771,,,0,,2026-06-14,○,https://www.bicc.jp/recruit/,,事務/販売,,top-anchor
勝田環境株式会社,1050001006676,,,0,,2026-06-14,○,https://www.katsukan.com/recruit/,,営業/事務/企画/施工管理/コンサル,docs.google.com,top-anchor
株式会社スミハツ,1010001020516,○,,0,,2026-06-14,○,https://www.sumihatsu.com/recruit.html,○,営業/技術職,,top-anchor
株式会社潤工社,1050001007996,○,,0,,2026-06-14,○,https://www.junkosha.com/jp/news/recruit,○,デザイナー,,top-anchor
三展ミネコンサルタント株式会社,1050001010315,○,,0,,2026-06-14,○,https://www.santenmine.co.jp/?page_id=673,○,コンサル,job.mynavi.jp,top-anchor
ハムリー株式会社,1050001019190,,,0,,2026-06-14,,,,,,
株式会社クレハ分析センター（閉鎖）,2380001012797,,,0,,2026-06-14,,,,,,no-recruit-link
クリタ分析センター株式会社,1050001016444,○,,0,,2026-06-14,○,https://www.kuritabunseki.co.jp/page_id_134/,○,販売,,top-anchor
