企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
日本電子材料株式会社,1140001050335,,,,坂田輝久,info@jem-net.co.jp,0.4,,,https://www.jem-net.co.jp/images/recruit/2023_joseikouhyou.pdf,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001050335,人事部 ご採用ご担当者様,半導体検査部品の開発・製造・販売,兵庫県尼崎市西長洲町２丁目５番１３号,602,,,2026-06-14T13:56:05.245Z
株式会社日興商会,1140001050558,,,,藤縄修平,,0,,,https://nikko.bunguclub.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001050558,人事部 ご採用ご担当者様,印刷・事務用品販売業 オフィス家具・OA機器の販売,兵庫県尼崎市東難波町５丁目１０番３０号,650,,1948,2026-06-14T13:56:05.246Z
日本山村硝子株式会社,1140001054947,,,,山村昇,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001054947,人事部 ご採用ご担当者様,,兵庫県尼崎市西向島町１５番１,750,,,2026-06-14T13:56:05.264Z
永井産業株式会社,1140001060318,,,,永井敬裕,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001060318,人事部 ご採用ご担当者様,紙類・化成品の卸売及び加工、製本、不動産賃貸、農業、太陽光発電,兵庫県姫路市北条宮の町３８５番地,73,,1947,2026-06-14T13:56:05.291Z
ハリマ共和物産株式会社,1140001060846,,,,土屋匡輝,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001060846,人事部 ご採用ご担当者様,日用雑貨卸売業、受託物流業,兵庫県姫路市飾東町庄３１３番地,863,,,2026-06-14T13:56:05.303Z
株式会社システムリサーチ,1140001056258,,,,山田良作,info@sr-co.co.jp,0.4,,,https://www.sr-co.co.jp/about/wlb.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001056258,人事部 ご採用ご担当者様,ソフトウェア開発・機器販売,兵庫県豊岡市日高町国分寺１５８番地１,126,,1985,2026-06-14T13:56:05.305Z
株式会社ワンステップ,1140001062280,,,,橋本昌彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001062280,人事部 ご採用ご担当者様,,兵庫県姫路市北条口２丁目６６番地,150,,1990,2026-06-14T13:56:05.311Z
ヤマトスチール株式会社,1140001063741,,,,山内靖彦,info@yamatokogyo.co.jp,0.4,,,http://www.yamatokogyo.co.jp/steel/index.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001063741,人事部 ご採用ご担当者様,鉄鋼製品ならびに重工加工品の製造・販売,兵庫県姫路市大津区吉美３８０番地,412,,2003,2026-06-14T13:56:05.330Z
新明和ソフトテクノロジ株式会社,1140001069045,,,,吉村眞由美,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001069045,人事部 ご採用ご担当者様,,兵庫県西宮市田近野町６番８４号,182,,1986,2026-06-14T13:56:05.351Z
株式会社ジオテクノ関西,1140001068971,,,,相原修,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001068971,人事部 ご採用ご担当者様,,兵庫県西宮市池田町１２番２０号,79,,1965,2026-06-14T13:56:05.354Z
阪神園芸株式会社,1140001070003,,,,植村弘,info@hanshinengei.co.jp,0.4,,,https://www.hanshinengei.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001070003,人事部 ご採用ご担当者様,造園工事業 緑地管理業 運動場の整備・設計・施工 公園等の指定管理業務,兵庫県西宮市甲子園浦風町１６番２４号,263,,1968,2026-06-14T13:56:05.369Z
株式会社ＮＥＯ　ＤＡＩＳＥＩ,1140001077898,,,,平井良治,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001077898,人事部 ご採用ご担当者様,,兵庫県神戸市中央区栄町通２丁目４番１４号,118,,2012,2026-06-14T13:56:05.390Z
株式会社ハイレックスコーポレーション,1140001081875,,,,寺浦太郎,info@hi-lex.co.jp,0.4,,,http://www.hi-lex.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001081875,人事部 ご採用ご担当者様,①コントロール・システムの製造並びに販売 ②コントロール・システムの製造設備の設計、製造並びに販売 ③自動車、船舶、,兵庫県宝塚市栄町１丁目１２番２８号,904,,,2026-06-14T13:56:05.407Z
西菱電機株式会社,1140001078509,,,,西井希伊,info@seiryodenki.co.jp,0.4,,,http://www.seiryodenki.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001078509,人事部 ご採用ご担当者様,・防災情報通信システムの販売、保守等 ・携帯電話、パソコン等情報通信端末の販売、修理等,兵庫県伊丹市藤ノ木３丁目５番３３号,420,,1966,2026-06-14T13:56:05.413Z
ヤンマー舶用システム株式会社,1140001083756,,,,前垣内敏郎,info@yanmar.com,0.4,,,https://www.yanmar.com/jp/about/company/yms/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001083756,人事部 ご採用ご担当者様,舟艇、船舶用エンジン、船舶用部品・関連機器の卸小売、並びにメンテナンス整備、修理他,兵庫県伊丹市中央３丁目１番１７号,390,,2002,2026-06-14T13:56:05.427Z
トレスエンジニアリング株式会社,2100001015489,,,,六車徹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2100001015489,人事部 ご採用ご担当者様,,兵庫県加東市大門２９４番地３,66,,1983,2026-06-14T13:56:05.477Z
株式会社山本清掃,2130001011948,,,,山本智也,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001011948,人事部 ご採用ご担当者様,,京都府京都市伏見区横大路千両松町１９６番地の１,99,,1992,2026-06-14T13:56:05.568Z
ＳＧシステム株式会社,2130001010677,,,,丸山信二,info@sg-systems.co.jp,0.4,,,http://www.sg-systems.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001010677,人事部 ご採用ご担当者様,・情報システムに関する企画、設計、開発、保守、運用業務 ・労働者派遣事業 ・情報処理機器、事務用機械および工業用機械類の,京都府京都市南区上鳥羽角田町２５番地,3376,,1983,2026-06-14T13:56:05.570Z
日本新薬株式会社,2130001012236,,,,中井亨,info@nippon-shinyaku.co.jp,0.4,,,https://www.nippon-shinyaku.co.jp/sustainability/esg/social/diversity_inclusion.php#anchor01,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001012236,人事部 ご採用ご担当者様,医薬品・機能食品の製造及び販売,京都府京都市南区吉祥院西ノ庄門口町１４番地,1827,,,2026-06-14T13:56:05.592Z
株式会社白鳩,2130001014736,,,,菅原知樹,info@shirohato.co.jp,0.4,,,https://www.shirohato.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001014736,人事部 ご採用ご担当者様,オンラインショッピングサイトの運営,京都府京都市伏見区竹田向代町５０５番地,152,,,2026-06-14T13:56:05.595Z
株式会社ジェイ・エス・ビー,2130001017499,,,,森高広,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001017499,人事部 ご採用ご担当者様,,京都府京都市下京区因幡堂町６５５番地,245,,1990,2026-06-14T13:56:05.613Z
株式会社地域計画建築研究所,2130001018043,,,,中塚一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001018043,人事部 ご採用ご担当者様,建設コンサルタント 建築設計,京都府京都市下京区四条通柳馬場西入立売中之町９９番地,97,,1967,2026-06-14T13:56:05.620Z
株式会社演算工房,2130001020098,,,,林稔,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001020098,人事部 ご採用ご担当者様,ソフトウェア業・測量機器等の販売,京都府京都市上京区智恵光院通中立売下る山里町２３７番地３,129,,2001,2026-06-14T13:56:05.635Z
株式会社サンコンタクトレンズ,2130001020932,,,,笹川泰弘,info@sun-con.com,0.4,,,http://www.sun-con.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001020932,人事部 ご採用ご担当者様,眼科用医療機器製造販売,京都府京都市下京区中堂寺庄ノ内町４６番１,132,,1971,2026-06-14T13:56:05.661Z
ニチコン株式会社,2130001022029,,,,森克彦,,0,,,http://www.nichicon.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001022029,人事部 ご採用ご担当者様,アルミ電解コンデンサ、フィルムコンデンサ、 正特性サーミスタ“ポジアール?”、Ｖ２Ｈシステム、 家庭用蓄電システム、ＥＶ,京都府京都市中京区烏丸通御池上る二条殿町５５１番地,581,,1950,2026-06-14T13:56:05.665Z
ワールドビジネスセンター株式会社,2130001012070,,,,萩原秀樹,info@wbc.co.jp,0.4,,,http://www.wbc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001012070,人事部 ご採用ご担当者様,システム運用管理、システム開発、ネットワークシステムの保守、コンピュータ及び周辺機器・消耗品等の販売、パッケージソフトの,京都府京都市南区西九条東御幸田町２５番２,634,,1966,2026-06-14T13:56:05.699Z
株式会社トーセ,2130001030304,,,,渡辺康人,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001030304,人事部 ご採用ご担当者様,家庭用ゲームソフトの企画・開発・運営 モバイル・インターネット関連コンテンツの企画・開発・運営,京都府乙訓郡大山崎町字下植野小字二階下１３番地,496,,1979,2026-06-14T13:56:05.722Z
株式会社日新システムズ,2130001018398,,,,永井秀明,info@co-nss.co.jp,0.4,,,https://www.co-nss.co.jp/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001018398,人事部 ご採用ご担当者様,(1) 制御系・組込系ソフトウェアの受託開発 (2) ソフトウェアライセンスの販売 (3) ＥＭＳ関連機器、ネットワーク,京都府京都市下京区堀川通綾小路下る綾堀川町２９３番地の１,223,,1984,2026-06-14T13:56:05.756Z
京都電子計算株式会社,2130001023349,,,,森口健吾,info@kip.co.jp,0.4,,,http://www.kip.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001023349,人事部 ご採用ご担当者様,システム販売／パッケージソフト開発販売、ソフトウェア開発、アウトソーシングサービス、Webサイト構築、教育サービス、セキ,京都府京都市下京区木津屋橋通新町西入東塩小路町６０１番地ＮＵＰビルディング京都駅前,309,,1964,2026-06-14T13:56:05.786Z
サイレックス・テクノロジー株式会社,2130001037373,,,,三浦暢彦,info@silex.jp,0.4,,,http://www.silex.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001037373,人事部 ご採用ご担当者様,ネットワーク・ワイヤレス技術を活かした製品の開発・製造・販売,京都府相楽郡精華町光台２丁目３番地１,245,,1973,2026-06-14T13:56:05.792Z
信和商事株式会社,2130001038082,,,,中村貴敏,info@shinwasyouji.co.jp,0.4,,,https://shinwasyouji.co.jp/company/about/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001038082,人事部 ご採用ご担当者様,古紙回収業,京都府八幡市八幡久保田１番地,92,,1979,2026-06-14T13:56:05.795Z
株式会社丹新ビルサービス,2130001041160,,,,新庄昭仁,info@tanshin-bs.co.jp,0.4,,,https://tanshin-bs.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001041160,人事部 ご採用ご担当者様,総合ビルメンテナンス業,京都府福知山市東羽合町１６４番地,121,,1986,2026-06-14T13:56:05.806Z
株式会社ニチダイ,2130001038818,,,,伊藤直紀,info@nichidai.jp,0.4,,,http://www.nichidai.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001038818,人事部 ご採用ご担当者様,精密鍛造金型の開発・製造・販売 精密部品の組立て 積層焼結金網フィルタの開発・製造・販売,京都府京田辺市薪北町田１３番地,383,,,2026-06-14T13:56:05.809Z
株式会社関東甲信クボタ,1030001072877,,,,冠康夫,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001072877,人事部 ご採用ご担当者様,,埼玉県さいたま市桜区西堀５丁目２番３６号,563,,1966,2026-06-14T13:56:05.828Z
日東精工株式会社,2130001041813,,,,荒賀誠,info@nittoseiko.co.jp,0.4,,,https://www.nittoseiko.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001041813,人事部 ご採用ご担当者様,金属製品製造業,京都府綾部市井倉町梅ケ畑２０番地,519,,,2026-06-14T13:56:05.834Z
株式会社京滋マツダ,2130001024529,,,,田嶋誠治,,0,,,https://website.keiji-mazda.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001024529,人事部 ご採用ご担当者様,自動車販売 自動車修理 自動車レンタル 損害保険代理業,京都府京都市南区吉祥院向田西町１番地,410,,1982,2026-06-14T13:56:05.838Z
株式会社バッファロー,1030001076804,,,,営業本部長坂本裕二,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001076804,人事部 ご採用ご担当者様,カー用品総合小売業,埼玉県川口市本町４丁目１番８号,405,,,2026-06-14T13:56:05.846Z
株式会社前澤エンジニアリングサービス,1030001082736,,,,絹笠淳,,0,,,http://www.maezawa-es.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001082736,人事部 ご採用ご担当者様,上下水道用機器・水処理装置の修繕・据付工事、維持管理,埼玉県川口市仲町５番１１号,307,,1985,2026-06-14T13:56:05.870Z
東日本メディコム株式会社,1030001087058,,,,松本運造,info@e-medicom.co.jp,0.4,,,https://www.e-medicom.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001087058,人事部 ご採用ご担当者様,・電子カルテ等、医療事務コンピューターの販売及びサポート ・医療機関及び調剤薬局用ソフトウェアの開発・販売 ・Webを利,埼玉県行田市大字斎条１２８番地,194,,1979,2026-06-14T13:56:05.886Z
株式会社エイリイ・エンジニアリング,1030001089962,,,,二ノ宮啓,info@alae.co.jp,0.4,,,https://www.alae.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001089962,人事部 ご採用ご担当者様,宇宙、航空機、船舶、車両搭載機器、通信、電子、電波、光学、環境関連機器の保守整備及び設計、製造、販売,埼玉県飯能市大字双柳１０５４番地,58,,1978,2026-06-14T13:56:05.903Z
株式会社グラファイトデザイン,1030001090714,,,,山田拓郎,info@gd-inc.co.jp,0.4,,,https://www.gd-inc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001090714,人事部 ご採用ご担当者様,1.ゴルフクラブシャフトの製造・販売 2.ゴルフクラブの組立加工 3.その他炭素繊維(カーボン繊維)を使用した各種パイプ,埼玉県秩父市太田２４７４番地１,130,,,2026-06-14T13:56:05.909Z
関東建設マネジメント株式会社,1030001098427,,,,藤田清二,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001098427,人事部 ご採用ご担当者様,,埼玉県さいたま市大宮区吉敷町４丁目２６２番地１６マルキュービル,600,,2013,2026-06-14T13:56:05.911Z
朝日アグリア株式会社,1030001135964,,,,中村紀之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001135964,人事部 ご採用ご担当者様,,埼玉県児玉郡神川町大字渡瀬２２２番地,180,,2020,2026-06-14T13:56:05.933Z
株式会社ＤＮＰデータテクノ,1050001028118,,,,中西祐幾,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1050001028118,人事部 ご採用ご担当者様,■ IPS（Information Processing Solution）分野 請求書、お取引明細、ダイレクトメール、,埼玉県蕨市錦町４丁目５番１号,3196,,1998,2026-06-14T13:56:05.940Z
朝日工業株式会社,2013301000418,,,,村上政徳,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2013301000418,人事部 ご採用ご担当者様,,埼玉県児玉郡神川町大字渡瀬２２２番地,252,,,2026-06-14T13:56:05.967Z
株式会社テクアノーツ,1120901030611,,,,稲葉靖規,info@tequanauts.co.jp,0.4,,,https://www.tequanauts.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120901030611,人事部 ご採用ご担当者様,潜水工事、浮体構造物や水草刈取船の設計・製作、水中ロボットによる水道施設メンテナンスなど水環境社会インフラの整備,埼玉県川口市芝下１丁目１番３号,150,,1973,2026-06-14T13:56:05.968Z
ＡＧＳ株式会社,2030001000011,,,,中野真治,info@ags.co.jp,0.4,,,http://www.ags.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001000011,人事部 ご採用ご担当者様,情報処理サービス ソフトウェア開発 その他情報サービス システム機器販売,埼玉県さいたま市浦和区針ヶ谷４丁目３番２５号,800,,1971,2026-06-14T13:56:05.978Z
株式会社イマギイレ,2030001000820,,,,今給黎宣成,info@imagiire.co.jp,0.4,,,https://www.imagiire.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001000820,人事部 ご採用ご担当者様,建設機械器具賃貸業,埼玉県さいたま市西区大字内野本郷２１９番３,197,,1973,2026-06-14T13:56:06.000Z
株式会社スズキ自販埼玉,2030001004499,,,,東智彦,info@suzuki.co.jp,0.4,,,https://www.suzuki.co.jp/dealer/sj-saitama/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001004499,人事部 ご採用ご担当者様,スズキ軽四輪車、小型車の卸売・小売 中古自動車の卸売・小売 スズキセニアカー・電動車椅子の販売 自動車部品の販売 自動車,埼玉県さいたま市北区吉野町２丁目２２２番地１０,365,,1965,2026-06-14T13:56:06.013Z
日本環境クリアー株式会社,2030001006446,,,,杉山英司,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001006446,人事部 ご採用ご担当者様,,埼玉県さいたま市大宮区桜木町１丁目１１番地９,900,,1976,2026-06-14T13:56:06.020Z
ビソー工業株式会社,2030001007106,,,,戸張剛,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001007106,人事部 ご採用ご担当者様,,埼玉県さいたま市西区大字西新井５０５番地１２１,1000,,1979,2026-06-14T13:56:06.028Z
株式会社サイオー,2030001012551,,,,橋本一憲,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001012551,人事部 ご採用ご担当者様,,埼玉県さいたま市浦和区岸町７丁目１２番４号,850,,1970,2026-06-14T13:56:06.042Z
富士共同物流株式会社,2030001010670,,,,中村信也,info@fkb.co.jp,0.4,,,http://www.fkb.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001010670,人事部 ご採用ご担当者様,一般貨物自動車運送業 貨物利用運送業 警備輸送業,埼玉県さいたま市浦和区上木崎３丁目９番６号,120,,1989,2026-06-14T13:56:06.054Z
株式会社ツツミ,2030001021115,,,,互智司,info@tsutsumi.co.jp,0.4,,,https://www.tsutsumi.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001021115,人事部 ご採用ご担当者様,宝飾品・貴金属製品の製造・卸売・小売業,埼玉県蕨市中央４丁目２４番２６号,878,,,2026-06-14T13:56:06.082Z
株式会社ビクセン,2030001024877,,,,新妻和重,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001024877,人事部 ご採用ご担当者様,光学機器製造販売、,埼玉県所沢市東所沢５丁目１７番地３,102,,1954,2026-06-14T13:56:06.093Z
株式会社ピックルスコーポレーション,2030001024893,,,,影山直司,info@pickles.co.jp,0.4,,,http://www.pickles.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001024893,人事部 ご採用ご担当者様,浅漬け漬物、キムチ、惣菜製造,埼玉県所沢市東住吉７番８号,1167,,,2026-06-14T13:56:06.112Z
マザーサンヤチヨ・オートモーティブシステムズ株式会社,2030001026675,,,,可知浩幸,info@yachiyo-ind.co.jp,0.4,,,http://www.yachiyo-ind.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001026675,人事部 ご採用ご担当者様,輸送用機器及び関連部品等の研究・開発・製造・販売,埼玉県狭山市柏原３９３番地,892,,,2026-06-14T13:56:06.113Z
株式会社奥井組,2030001026824,,,,奥井祐介,info@okuigumi.co.jp,0.4,,,https://okuigumi.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001026824,人事部 ご採用ご担当者様,運輸業 建設業（建築・土木等） 機械設置業 物流業,埼玉県入間市新光１９１番地１,180,,1966,2026-06-14T13:56:06.116Z
大成ラミックグループ株式会社,2030001031015,,,,長谷部正,info@lamick.co.jp,0.4,,,https://www.lamick.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2030001031015,人事部 ご採用ご担当者様,食品を中心とした液体・粘体自動充填用プラスチックフィルムおよび高速自動充填機ダンガンの開発・製造・販売,埼玉県白岡市下大崎８７３番地１,57,,,2026-06-14T13:56:06.129Z
株式会社鴨川グランドホテル（閉鎖）,1040001074815,,,,鈴木健史,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001074815,人事部 ご採用ご担当者様,,千葉県鴨川市広場８２０番地,165,,,2026-06-14T13:56:06.151Z
東日本イワタニガス株式会社,2010401057116,,,,上田恭久,,0,,,https://www.hig-iwatani.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010401057116,人事部 ご採用ご担当者様,高圧ガス等の卸売業,千葉県市川市塩浜２丁目１７番地,228,,2005,2026-06-14T13:56:06.208Z
ＪＦＥ環境テクノロジー株式会社,2010001144314,,,,渡辺重世,info@jfe-et.co.jp,0.4,,,http://www.jfe-et.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010001144314,人事部 ご採用ご担当者様,廃棄物処理施設における設計・調達・建設・運転管理・メンテナンス,千葉県千葉市美浜区中瀬２丁目６番地１,664,,1985,2026-06-14T13:56:06.213Z
株式会社ミック,2011101020553,,,,大谷純一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2011101020553,人事部 ご採用ご担当者様,,千葉県柏市若柴２２６番地４４中央１４１街区１,181,,1976,2026-06-14T13:56:06.217Z
株式会社エイド,2040001000836,,,,齋藤豊,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001000836,人事部 ご採用ご担当者様,,千葉県千葉市中央区新宿１丁目５番２３号,164,,1991,2026-06-14T13:56:06.236Z
イオンリテール株式会社,2040001000456,,,,古澤康之,info@aeonretail.jp,0.4,,,http://www.aeonretail.jp/company/gaiyo.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001000456,人事部 ご採用ご担当者様,総合小売業,千葉県千葉市美浜区中瀬１丁目５番地１,114984,,2008,2026-06-14T13:56:06.240Z
株式会社千葉銀行,2040001000019,,,,頭取米本努,info@chibabank.co.jp,0.4,,,https://www.chibabank.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001000019,人事部 ご採用ご担当者様,普通銀行業,千葉県千葉市中央区千葉港１番２号,4366,,,2026-06-14T13:56:06.240Z
新日本建設株式会社,2040001003186,,,,髙見克司,info@shinnihon-c.co.jp,0.4,,,https://www.shinnihon-c.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001003186,人事部 ご採用ご担当者様,総合建設業、不動産開発事業,千葉県千葉市美浜区ひび野１丁目４番３,587,,,2026-06-14T13:56:06.254Z
協和ビル管理株式会社,2040001001784,,,,福田誠子,info@kyowakeibi.co.jp,0.4,,,http://www.kyowakeibi.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001001784,人事部 ご採用ご担当者様,建物の総合管理業務,千葉県千葉市中央区汐見丘町１６番１１号,608,,1977,2026-06-14T13:56:06.257Z
イオンコンパス株式会社,2040001008549,,,,城友美,,0,,,http://www.aeoncompass.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001008549,人事部 ご採用ご担当者様,旅行業,千葉県千葉市美浜区中瀬２丁目６番地１,270,,1971,2026-06-14T13:56:06.286Z
株式会社京葉ビル管理,2040001019257,,,,松山典夫,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001019257,人事部 ご採用ご担当者様,建築物の環境衛生管理、その他ビルメンテナンス業務 ハウスクリーニング 保安・防災管理業務 マンションの管理 日本語・外国,千葉県船橋市本町３丁目２２番２２号,180,,1978,2026-06-14T13:56:06.297Z
株式会社市進ホールディングス,2040001025619,,,,福住一彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001025619,人事部 ご採用ご担当者様,学習塾、介護事業等の運営補佐,千葉県市川市八幡２丁目３番１１号,157,,1979,2026-06-14T13:56:06.315Z
株式会社加藤新聞舗,2040001025932,,,,加藤憲一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001025932,人事部 ご採用ご担当者様,,千葉県市川市市川２丁目４番９号,230,,1967,2026-06-14T13:56:06.316Z
株式会社サンリツ,2040001020768,,,,伊丹淳,info@san-g.com,0.4,,,http://www.san-g.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001020768,人事部 ご採用ご担当者様,臨床検査 食品衛生検査 衛生点検 理化学検査,千葉県八千代市上高野１３５３番地２５,427,,1968,2026-06-14T13:56:06.316Z
株式会社一家ダイニングプロジェクト,2040001027978,,,,武長太郎,info@ikkadining.co.jp,0.4,,,https://ikkadining.co.jp/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001027978,人事部 ご採用ご担当者様,飲食事業、ブライダル事業,千葉県市川市東大和田２丁目４番１０号,1875,,,2026-06-14T13:56:06.350Z
株式会社マツキヨココカラ＆カンパニー,2040001040238,,,,松本清雄,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001040238,人事部 ご採用ご担当者様,,千葉県松戸市新松戸東９番地１,100,,,2026-06-14T13:56:06.357Z
マブチモーター株式会社,2040001036954,,,,高橋徹,info@mabuchi-motor.co.jp,0.4,,,https://www.mabuchi-motor.co.jp/csr/employees/balance.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001036954,人事部 ご採用ご担当者様,小型モーターの製造販売,千葉県松戸市松飛台４３０番地,900,,,2026-06-14T13:56:06.360Z
サンコーテクノ株式会社,2040001040188,,,,洞下英人,info@sanko-techno.co.jp,0.4,,,http://www.sanko-techno.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2040001040188,人事部 ご採用ご担当者様,建設資材（あと施工アンカー・ドリルビット・ファスナー等）、複合材、防水材、各種測定器の企画開発・製造・販売・施工および輸,千葉県流山市南流山３丁目１０番地１６,444,,,2026-06-14T13:56:06.370Z
