企業名,法人番号,品質スコア,優先度,属性ランク,intent★,新卒フラグ,系統,取得元媒体,起点系統,起点ソース,ソース数,トリガー,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,業種,都道府県,従業員数,設立年,補助金,ICP適合,採用インテント,データ品質,タイミング,インテント根拠,スコア根拠,取得日,掲載媒体,掲載媒体数,採用予定人数,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠,プレスリリース,採用ページ更新,インテント,辞退シグナル
綜合エナジー株式会社,1240001005634,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,狩野一郎,,,,,https://sougouenergy.jp/,石油製品の卸及び販売,広島県安芸郡府中町茂陰２丁目６番６号,165,1957,,76,6,25,70,実シグナル,ICP:規模165=スイート / ICP:設立69年 / INT:intent★1,2026-06-14,,0,,○,https://sougouenergy.jp/company/recruit/,,,,top-anchor,,,,
東邦化工建設株式会社,1080101006409,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大滝昭仁,,,,,https://www.t-cec.co.jp/,"各種プラントエンジニアリング
各種分析ソリューション",静岡県駿東郡長泉町上土狩字高石２３４番地,124,1975,,76,6,25,70,実シグナル,ICP:規模124=スイート / ICP:設立51年 / INT:intent★1,2026-06-14,,0,,○,https://www.t-cec.co.jp/recruit/,,エンジニア/営業/総合職/技術職/事務,,top-anchor,,,,
株式会社三明,1080001008018,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,笠井茂,,,,,http://www.sanmei.co.jp,"産業用電子制御機器販売
海洋漁業機器販売",静岡県静岡市清水区松原町６番１６号,103,1938,,76,6,25,70,実シグナル,ICP:規模103=スイート / ICP:設立88年 / INT:intent★1,2026-06-14,,0,,○,https://recruit.sanmei.co.jp/,,,recruit.sanmei.co.jp,external-only,,,,
株式会社ユーメディア,1370001004227,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,今野均,,,,,http://www.u-media.jp/,広告・印刷・プロモーション支援事業,宮城県仙台市若林区六丁の目西町４番１２号,134,1960,,76,6,25,70,実シグナル,ICP:規模134=スイート / ICP:設立66年 / INT:intent★1,2026-06-14,,0,,○,https://www.u-media.jp/media/magazine_recruit,,介護/マーケティング/コンサル,recruit.u-media.jp,top-anchor,,,,
積水ハウスシャーメゾンＰＭ東北株式会社,1370001011272,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,根本遵,,,,,https://www.sekisuihouse-f-tohoku.co.jp/,"1.不動産の賃貸借の仲介、斡旋並びに代理
 2.不動産の賃貸借
 3.不動産の管理
 4.建築工事、造園工事、土木工事、",宮城県仙台市青葉区本町２丁目１６番１０号,176,1983,,76,6,25,70,実シグナル,ICP:規模176=スイート / ICP:設立43年 / INT:intent★1,2026-06-14,,0,,○,https://www.sekisuihouse-f-tohoku.co.jp/recruit/,,,sekisuihouse-f.jp,common-path,,,,
カガク興商株式会社,1370301000322,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊藤武彦,,,,,http://www.kagaku-k.co.jp/,"石油・ガソリン販売
LPG販売
高圧ガス販売",宮城県石巻市三ツ股１丁目２番７７号,101,1956,,76,6,25,70,実シグナル,ICP:規模101=スイート / ICP:設立70年 / INT:intent★1,2026-06-14,,0,,○,http://www.kagaku-k.co.jp/recruit.html,,販売,mynavisendai-ladies.jp,top-anchor,,,,
株式会社大谷商会,1110001000879,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大谷太郎,,,,,http://www.otani-shokai.com/index.html,卸売業（主に産業用機械設備）,新潟県新潟市東区逢谷内４６３番地,163,1950,,76,6,25,70,実シグナル,ICP:規模163=スイート / ICP:設立76年 / INT:intent★1,2026-06-14,,0,,○,https://www.otani-shokai.com/recruit/,,エンジニア,recruit.otani-shokai.com,common-path,,,,
仙台ガスサービス株式会社,1370001006710,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,立野昭宏,,,,,https://www.sgs-jp.net,"●ガス器具の販売・施工・修理
●ガス設備の設計・施工
●ガスコージェネレーションシステム
●キッチン・浴室・トイレ・水廻",宮城県仙台市宮城野区幸町３丁目１２番１５号,100,1966,,76,6,25,70,実シグナル,ICP:規模100=スイート / ICP:設立60年 / INT:intent★1,2026-06-14,,0,,○,https://www.sgs-jp.net/recruit,,営業/技術職/事務,,top-anchor,,,,
株式会社トーシス新潟,1110001003477,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,滝沢欽司,,,,,http://www.ts-niigata.co.jp,電気設備工事、電気通信設備工事の施工ならびに施工管理事業,新潟県新潟市西区的場流通２丁目４番地５,176,1972,,76,6,25,70,実シグナル,ICP:規模176=スイート / ICP:設立54年 / INT:intent★1,2026-06-14,,0,,○,https://www.ts-niigata.co.jp/recruit/index.html,,営業/企画/施工管理,,top-anchor,,,,
株式会社キタック,2110001001637,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,中山正子,,,,,https://kitac.co.jp,"地質調査・試験・解析・評価
環境調査・分析・解析・評価
土木設計・施工管理・構造物維持管理
地域計画・地域おこし・まちづ",新潟県新潟市中央区新光町１０番地２,190,1973,,76,6,25,70,実シグナル,ICP:規模190=スイート / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,○,https://kitac.co.jp/recruit/,,コンサル,,top-anchor,,,,
株式会社鈴勇商店,1370301000702,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,鈴木秀幸,,,,,http://www.suzuyu.co.jp/,"ステンレス・特殊金属全般・製鋼原料
金属製品製造業(再生資源処理加工業)",宮城県石巻市鹿又字山下西１２２番地１,178,1989,,76,6,25,70,実シグナル,ICP:規模178=スイート / ICP:設立37年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
信越放送株式会社,2100001001266,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,渡辺雅義,,,,,https://sbc21.co.jp/,テレビ・ラジオ放送業,長野県長野市大字鶴賀問御所町１２００番地３,131,1951,,76,6,25,70,実シグナル,ICP:規模131=スイート / ICP:設立75年 / INT:intent★1,2026-06-14,,0,,,,,,,robots-disallow,,,,
糸魚川二幸株式会社,1110001021875,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,齋藤隆一,,,,,https://itoigawa-nikoh.co.jp/,ビルメンテナンス業,新潟県糸魚川市押上２丁目１４番１３号,177,2008,,76,6,25,70,実シグナル,ICP:規模177=スイート / ICP:設立18年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
株式会社水野鉄工所,1200001005217,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,水野辰博,,,,,http://www.miztec.jp,"航空宇宙機器部品加工組み立て
油圧機器部品加工
航空機用治工具設計製作",岐阜県関市倉知４５３９番地１０,198,1958,,76,6,25,70,実シグナル,ICP:規模198=スイート / ICP:設立68年 / INT:intent★1,2026-06-14,,0,,○,https://www.miztec.jp/recruit,,技術職,,top-anchor,,,,
株式会社ワークリレーション,1200001006017,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,青木聡,,,,,http://www.work-re.com,人材派遣業,岐阜県岐阜市六条北４丁目６番６号,247,2001,,76,6,25,70,実シグナル,ICP:規模247=スイート / ICP:設立25年 / INT:intent★1,2026-06-14,,0,,○,https://www.work-re.com/page_search/?em-status--slug=temporary-staff,,エンジニア/営業/事務/企画/施工管理,,top-anchor,,,,
株式会社シー・ティー・ワイ,1190001015093,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,渡部一貴,,,,,https://cty-cns.jp/,"一般放送事業
電気通信事業",三重県四日市市本町８番２号,226,1988,,76,6,25,70,実シグナル,ICP:規模226=スイート / ICP:設立38年 / INT:intent★1,2026-06-14,,0,,○,https://cty-cns.jp/news/recruitsite_renewal/,,,recruit.cty-cns.jp,top-anchor,,,,
篠田株式会社,1200001011090,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,篠田圭司,,,,,https://www.gifu-shinoda.co.jp/,"１．土木建設資材の販売
２．建設機械の販売・修理
３．エコ商品の販売
４．建設業(土木工事業、とび・土工工事業、鋼構造物",岐阜県羽島郡岐南町野中１丁目８番地,206,1985,,76,6,25,70,実シグナル,ICP:規模206=スイート / ICP:設立41年 / INT:intent★1,2026-06-14,,0,,○,https://recruit.gifu-shinoda.co.jp/,,,recruit.gifu-shinoda.co.jp,external-only,,,,
株式会社クラウン警備保障,1190001010920,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,丸山臣彦,,,,,http://www.clg.co.jp,機械警備業務、ホームセキュリティサービス、施設警備業務、交通誘導警備業務、雑踏警備業務、保安警備業務,三重県松阪市久保町１８５５番地５０３,180,1999,,76,6,25,70,実シグナル,ICP:規模180=スイート / ICP:設立27年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
株式会社アイテス,1160001016292,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,五十嵐靖行,,,,,https://www.ites.co.jp/news/news202303-2.html,■太陽電池検査装置など各種検査装置の開発・販売　　■電子部品・材料の受託分析・解析・信頼性試験サービス　■法人向けPC・,滋賀県大津市栗林町１番６０号,100,1993,,76,6,25,70,実シグナル,ICP:規模100=スイート / ICP:設立33年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
キノンビクス株式会社,2160001013322,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,福永悟,,,,,https://www.kinon.co.jp/,電気工事、電気通信工事,滋賀県栗東市高野５７７番地１,102,1970,,76,6,25,70,実シグナル,ICP:規模102=スイート / ICP:設立56年 / INT:intent★1,2026-06-14,,0,,○,https://www.kinon.co.jp/recruit/saiyou-contact.shtml,,エンジニア/営業/施工管理,,top-anchor,,,,
株式会社協同,1210001007526,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,西川源徳,,,,,http://kwl.co.jp/,服飾副資材卸,岡山県倉敷市児島下の町９丁目１２番コ２号,112,1973,,76,6,25,70,実シグナル,ICP:規模112=スイート / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,○,https://www.kwl.co.jp/recruit.html,,営業/企画/マーケティング,,top-anchor,,,,
株式会社建美装社,1260001002282,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山下祐一郎,,,,,https://www.kenbisosha.co.jp/,総合ビルメンテナンス,岡山県岡山市中区江崎７２４番地５,199,1973,,76,6,25,70,実シグナル,ICP:規模199=スイート / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,○,https://recruit-kenbisosha.com/,,営業/事務,recruit-kenbisosha.com,common-path,,,,
カーツ株式会社,1260001009187,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,勝矢雅一,,,,,https://www.kaaz.co.jp/index.html,小型エンジンなどの設計・開発,岡山県岡山市東区西大寺五明３８７番地１,108,1979,,76,6,25,70,実シグナル,ICP:規模108=スイート / ICP:設立47年 / INT:intent★1,2026-06-14,,0,,○,https://www.kaaz.co.jp/recruit.html,,,,top-anchor,,,,
中国精油株式会社,1260001004262,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,樋口克彦,,,,,https://www.chusei-oil.com,石油及び石油化学製品製造・販売,岡山県岡山市北区中山下２丁目１番７７号,168,1941,,76,6,25,70,実シグナル,ICP:規模168=スイート / ICP:設立85年 / INT:intent★1,2026-06-14,,0,,○,https://www.chusei-oil.com/recruit/entry/,,営業,job.mynavi.jp,top-anchor,,,,
株式会社トヨタレンタリース西四国,1500001002943,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,横田知明,,,,,http://www.r-ehm.co.jp/,自動車賃貸業,愛媛県松山市南吉田町２７５０番地１２,141,1970,,76,6,25,70,実シグナル,ICP:規模141=スイート / ICP:設立56年 / INT:intent★1,2026-06-14,,0,,○,http://www.r-ehm.co.jp/recruit/,,,,top-anchor,,,,
株式会社アグサス,1500001003735,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,高岡康伯,,,,,https://www.agusas.co.jp/,OA機器の販売及びサポート&サービス,愛媛県松山市六軒家町２番３０号,170,1974,,76,6,25,70,実シグナル,ICP:規模170=スイート / ICP:設立52年 / INT:intent★1,2026-06-14,,0,,○,https://www.agusas.co.jp/recruit/careers/,,,instagram.com,top-anchor,,,,
株式会社三井Ｅ＆Ｓテクニカルリサーチ,1260001022306,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,村田和俊,,,,,https://mestrc.co.jp/,"1．レーダー調査
2．環境分析、 環境計測、成分分析
3．材料特性評価、非破壊検査、計測
4．損傷原因調査
5．余寿命評",岡山県玉野市玉３丁目１番１号,100,1979,,76,6,25,70,実シグナル,ICP:規模100=スイート / ICP:設立47年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
中島硝子工業株式会社,1260001018295,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,勇木健,,,,,http://www.ngci.co.jp,機能ガラス製造販売,岡山県井原市木之子町５３０１番地の２,217,1965,,76,6,25,70,実シグナル,ICP:規模217=スイート / ICP:設立61年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
ツバメ工業株式会社,2500001014715,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,石川喜平,,,,,http://www.8441.jp,封筒製造,愛媛県四国中央市川之江町２４１５番地,105,1953,,76,6,25,70,実シグナル,ICP:規模105=スイート / ICP:設立73年 / INT:intent★1,2026-06-14,,0,,○,https://www.8441.jp/recruit/entry,,営業/企画,,top-anchor,,,,
白鷺電気工業株式会社,1330001002440,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,沼田幸広,,,,,https://www.shirasagidenki.co.jp/sdgs/work-style/diversity/,建設業（電気工事業）,熊本県熊本市東区御領８丁目３番３８号,135,1958,,76,6,25,70,実シグナル,ICP:規模135=スイート / ICP:設立68年 / INT:intent★1,2026-06-14,,0,,○,https://www.shirasagidenki.co.jp/,,,recruit-shirasagidenki.com,common-path,,,,
株式会社野田市電子,2330001003693,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,野田和宏,,,,,https://www.nodaichi.co.jp,製造業,熊本県熊本市中央区世安２丁目１番１６号,243,1980,,76,6,25,70,実シグナル,ICP:規模243=スイート / ICP:設立46年 / INT:intent★1,2026-06-14,,0,,○,https://www.nodaichi.co.jp/recruit/,,,,common-path,,,,
株式会社前田産業,2330001004304,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,前田一美,,,,,https://maedasangyo.co.jp,"総合解体工事業
産業廃棄物収集運搬
産業廃棄物処分",熊本県熊本市南区野田３丁目１３番１号,214,1974,,76,6,25,70,実シグナル,ICP:規模214=スイート / ICP:設立52年 / INT:intent★1,2026-06-14,,0,,○,https://maedasangyo.co.jp/recruit/,,,,top-anchor,,,,
株式会社日本ビル管理,2330001003529,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,緒方倫功,,,,,http://www.nbkanri.co.jp/,ビルメンテナンス業,熊本県熊本市中央区桜町２番１７号,194,1973,,76,6,25,70,実シグナル,ICP:規模194=スイート / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,○,http://nbkanri.co.jp/lp/recruit/,,,,top-anchor,,,,
株式会社栗之浦ドック,1500001008296,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,成瀬倉祥,,,,,https://kurinouradock.co.jp/,船舶製造・修繕業,愛媛県八幡浜市栗野浦３６５番地,142,1950,,76,6,25,70,実シグナル,ICP:規模142=スイート / ICP:設立76年 / INT:intent★1,2026-06-14,,0,,○,https://job.rikunabi.com/2020/company/r957581054/,,,job.rikunabi.com,external-only,,,,
株式会社ユーケイデンタル,3330001004773,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,西島潤也,,,,,http://www.ukdental.co.jp/,歯科医療・歯科技工用機械、器具、器材、薬品の販売,熊本県熊本市南区流通団地１丁目６８番地,159,1982,,76,6,25,70,実シグナル,ICP:規模159=スイート / ICP:設立44年 / INT:intent★1,2026-06-14,,0,,○,http://www.ukdental.co.jp/recruit,,営業,ukdental-recruit.com,top-anchor,,,,
イワタニ南九州株式会社,3330001004550,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,當摩敦,,,,,http://www.mkm-marui.co.jp,"LPガス関連（プロパン・ガス器具・供給設備販売、設計・施工）
石油関連（石油類、石油機器）
生活関連（日用品・家電製品・",熊本県熊本市東区小山２丁目１６番５０号,147,1968,,76,6,25,70,実シグナル,ICP:規模147=スイート / ICP:設立58年 / INT:intent★1,2026-06-14,,0,,○,https://www.mkm-marui.co.jp/form/entry_top.html,,,,top-anchor,,,,
株式会社こんの,2380001000505,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,紺野道昭,,,,,http://www.konno.gr.jp,再生資源卸売業,福島県福島市陣場町２番２０号,102,1957,,76,6,25,70,実シグナル,ICP:規模102=スイート / ICP:設立69年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
株式会社アンフィニ福島,1380001028720,40,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,蛭田佳克,,,,,https://anfini-f.co.jp/,労働者派遣事業,福島県いわき市平字尼子町２番地２７,182,2017,,74,6,25,70,実シグナル,ICP:規模182=スイート / INT:intent★1,2026-06-14,,0,,○,https://anfini-f.co.jp/job/,,営業/事務,,top-anchor,,,,
東洋システム株式会社,2380001013457,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,庄司秀樹,,,,,http://toyo-system.co.jp/,"●二次電池の充放電評価装置の設計・開発・製造・販売 
●電池試作装置・安全性評価装置の設計・開発・製造・販売 
●Li-",福島県いわき市常磐西郷町銭田１０６番地の１,130,1989,,76,6,25,70,実シグナル,ICP:規模130=スイート / ICP:設立37年 / INT:intent★1,2026-06-14,,0,,○,https://toyo-system.co.jp/recruit/career/,,営業/事務/企画/介護/販売,,top-anchor,,,,
コマツ福島株式会社,2380001021591,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,苅谷秀行,,,,,http://www.kics.co.jp,建設機械および付属品の販売・整備・賃貸,福島県郡山市字下亀田１６番地３,155,2012,,76,6,25,70,実シグナル,ICP:規模155=スイート / ICP:設立14年 / INT:intent★1,2026-06-14,,0,,○,https://www.kics.co.jp/recruit,,営業/販売,,top-anchor,,,,
勝田環境株式会社,1050001006676,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,望月福男,,,,,http://www.katsukan.com/,一般、産業廃棄物収集運搬業,茨城県ひたちなか市大字津田２５５４番地の２,150,1978,,76,6,25,70,実シグナル,ICP:規模150=スイート / ICP:設立48年 / INT:intent★1,2026-06-14,,0,,○,https://www.katsukan.com/recruit/,,営業/事務/企画/施工管理/コンサル,docs.google.com,top-anchor,,,,
株式会社クレハ分析センター（閉鎖）,2380001012797,40,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小山正泰,,,,,https://www.kureha-bunseki.co.jp,環境分析、理化学分析、極微量分析、骨検査,福島県いわき市錦町落合１６番地,101,1990,,76,6,25,70,実シグナル,ICP:規模101=スイート / ICP:設立36年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,上杉隼士,,,,,http://www.hotta-marusho.co.jp/,"和装品、洋装品、寝装品、健康関連商材等と貴金属・宝石等の卸売販売
意匠撚糸の製造販売",東京都墨田区横網１丁目１０番５号,124,,,72,6,25,70,実シグナル,ICP:規模124=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.hotta-marusho.co.jp/recruit/,,営業/事務/企画/デザイナー/販売,,top-anchor,,,,
平和不動産株式会社,1010001034920,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,土本清幸,,,,,https://www.heiwa-net.co.jp/,不動産業,東京都中央区日本橋兜町１番１０号,105,,,72,6,25,70,実シグナル,ICP:規模105=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.heiwa-net.co.jp/recruit/shinsotsu/,,企画/介護,,top-anchor,,,,
横浜高速鉄道株式会社,1020001029440,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,森秀毅,,,,,http://www.mm21railway.co.jp,"（1）鉄道事業
（2）鉄道施設内における日用雑貨・飲食物等の販売、飲食業、広告業及び旅行業等のサービス事業
（3）不動産",神奈川県横浜市中区元町１丁目１１番地,123,,,72,6,25,70,実シグナル,ICP:規模123=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.mm21railway.co.jp/info/corpo/employment.html,,,,top-anchor,,,,
株式会社ナンシン,1010001053053,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,諏訪隆博,,,,,https://www.nansin.co.jp/,キャスター、台車等製造販売,東京都中央区日本橋人形町１丁目１７番４号,169,,,72,6,25,70,実シグナル,ICP:規模169=スイート / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
株式会社白鳩,2130001014736,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,菅原知樹,,,,,https://www.shirohato.co.jp,オンラインショッピングサイトの運営,京都府京都市伏見区竹田向代町５０５番地,152,,,72,6,25,70,実シグナル,ICP:規模152=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.shirohato.co.jp/recruit/index.html,,,,top-anchor,,,,
株式会社サンユウ,1120001149666,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,喜多章,,,,,http://www.sanyu-cfs.co.jp,"みがき棒鋼の製造、加工及び販売
冷間圧造用鋼線の製造、加工及び販売",大阪府枚方市春日北町３丁目１番１号,203,,,72,6,25,70,実シグナル,ICP:規模203=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.sanyu-cfs.co.jp/recruit/,,営業/総合職/技術職/事務,,top-anchor,,,,
焼津水産化学工業株式会社,1080001015385,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山田潤,,,,,https://www.yskf.jp/,調味料、機能食品、その他の食品等の製造業務,静岡県焼津市小川新町５丁目８番１３号,210,,,72,6,25,70,実シグナル,ICP:規模210=スイート / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
株式会社岡山製紙,1260001001078,39,後回し,B,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,宮田正樹,,,,,https://okayamaseishi.co.jp/,中芯原紙、紙管原紙、平板及び美粧段ボールの製造・販売,岡山県岡山市南区浜野１丁目４番３４号,191,,,72,6,25,70,実シグナル,ICP:規模191=スイート / INT:intent★1,2026-06-14,,0,,○,https://www.okayamaseishi-saiyo.jp/,,,okayamaseishi-saiyo.jp,external-only,,,,
株式会社アイ・アイ・エム,1010001000055,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,関根淳,,,,,,,東京都中央区八丁堀３丁目６番１号,117,1988,,76,6,10,70,実シグナル,ICP:規模117=スイート / ICP:設立38年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社アスク,1010001009831,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,武藤和彦,,,,,,,東京都千代田区九段南４丁目８番１９号ＣＩＲＣＬＥＳ＋市ヶ谷駅前,140,1997,,76,6,10,70,実シグナル,ICP:規模140=スイート / ICP:設立29年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社ザイエンス,1010001017941,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田中順子,,,,,,,東京都千代田区丸の内２丁目３番２号,200,1931,,76,6,10,70,実シグナル,ICP:規模200=スイート / ICP:設立95年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
ソリッドコミュニケーション株式会社,1010001021349,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,金子健吾,,,,,,,東京都千代田区麹町５丁目３番３号麹町ＫＳスクエア５階,146,1994,,76,6,10,70,実シグナル,ICP:規模146=スイート / ICP:設立32年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社ティ・オー・エス,1010001023378,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小池敏英,,,,,,システム設計、開発、管理及び運用サービスなど,東京都千代田区内神田３丁目１１番７号,133,1973,,76,6,10,70,実シグナル,ICP:規模133=スイート / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社内藤一水社,1010001025135,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,内藤好之,,,,,,,東京都千代田区麹町３丁目２番地,107,1947,,76,6,10,70,実シグナル,ICP:規模107=スイート / ICP:設立79年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社はとバスエージェンシー,1010001026819,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田中博昭,,,,,,"広告代理業
保険代理店
商事事業
人材派遣業
旅行業
中古バス売買業
警備業・メンテナンス",東京都千代田区丸の内１丁目９番１号,160,1963,,76,6,10,70,実シグナル,ICP:規模160=スイート / ICP:設立63年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
株式会社かんこう,1120001007221,37,後回し,A,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,谷口智之,,,,,,,大阪府大阪市城東区野江１丁目１２番８号,166,1953,,76,6,10,70,実シグナル,ICP:規模166=スイート / ICP:設立73年 / INT:intent★1,2026-06-14,,0,,,,,,,,,,,
