企業名,採用担当者名,代表者名,架電宛名,役職,公式URL,業種,都道府県,電話番号,上場,設立,取得元,根拠URL
株式会社HIKKY,,舟越靖,舟越靖 様,,https://www.hikky.co.jp,サービス業,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000496.000034617.html
株式会社V,,,,,https://v-inc.jp/,情報通信,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000178.000049339.html
株式会社ゲンズ,,,,,,,：群馬県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000132616.html
株式会社AIメタバース,,佐藤和奏,佐藤和奏 様,,https://www.ai-metaverse.jp/,情報通信,東京都,03-6821-1292,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000019.000179321.html
トランスコスモス株式会社,,富岡,富岡 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000002107.000000183.html
株式会社TeraDox,,齋藤啓司,齋藤啓司 様,,https://teradox.jp/,情報通信,東京都,03-6843-3803,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000119.000053809.html
株式会社アウラム,,福田,福田 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000180175.html
Animoca Brands 株式会社,,天羽健介,天羽健介 様,,https://www.animocabrands.co.jp,情報通信,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000092.000093690.html
株式会社VEXZ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000044.000098528.html
九州旅客鉄道株式会社,,古宮洋二,古宮洋二 様,,http://www.jrkyushu.co.jp/,倉庫・運輸関連業,報福岡県,,東証1部資本金1,1987,PR TIMES,https://prtimes.jp/main/html/rd/p/000001251.000037933.html
SUSHI TOP MARKETING株式会社,,徳永大輔,徳永大輔 様,,https://www.sushitopmarketing.com/,情報通信,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000162.000092249.html
SBI VCトレード株式会社,,近藤智彦,近藤智彦 様,,https://www.sbivc.co.jp/,金融・保険業,東京都,03-6229-1166,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000207.000059421.html
ギグワークス株式会社,,浅井俊光,浅井俊光 様,,https://www.gig.co.jp/,サービス業,東京都,03-6832-3260,東証スタンダード,1977,PR TIMES,https://prtimes.jp/main/html/rd/p/000000212.000047553.html
株式会社農情人,,甲斐雄一郎,甲斐雄一郎 様,,https://noujoujin.com/,サービス業,：千葉県,090-1807-8083,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000193.000087046.html
Lehman Holdings株式会社,,,,,https://lehmansoft.com/,サービス業,東京都,,,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000277.000116500.html
株式会社CoinPost,,各務貴仁,各務貴仁 様,,http://coinpost.jp/,情報通信,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000333.000033850.html
株式会社DeFimans,,小野,小野 様,,https://defimans.com/,金融・保険業,東京都,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000125.000111807.html
株式会社トレードワークス,,齋藤正勝,齋藤正勝 様,,https://www.tworks.co.jp/,情報通信,東京都,03-6230-8900,東証スタンダード,1999,PR TIMES,https://prtimes.jp/main/html/rd/p/000000070.000117557.html
株式会社ACTANT,,南部隆一,南部隆一 様,,https://actant.jp/,サービス業,東京都,050-3717-9515,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000090804.html
ELSOUL LABO B.V.,,川崎文武,川崎文武 様,,https://labo.elsoul.nl/ja/,情報通信,,316-8722-8310,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000482.000105962.html
株式会社Fanpla,,平井威充,平井威充 様,,https://corp.fanpla.co.jp/,サービス業,東京都,03-6277-5160,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000157461.html
SLASH VISION PTE. LTD.,,佐藤,佐藤 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000162470.html
僕たちの映画館2026製作委員会,,僕たちの映画館,僕たちの映画館 様,,,サービス業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000186161.html
east field株式会社,,東原邦明,東原邦明 様,,http://www.eastfield.co.jp,サービス業,東京都,03-6303-3501,未上場,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000036.000056014.html
株式会社CyberZ,,山内隆裕,山内隆裕 様,,http://cyber-z.co.jp/,情報通信,東京都,03-5459-6276,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000001509.000006792.html
UUUM株式会社,,桑村,桑村 様,,http://www.uuum.co.jp/,情報通信,東京都,,,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000880.000008567.html
株式会社ボーンデジタル,,名新和也,名新和也 様,,https://www.borndigital.co.jp/,商業（卸売業、小売業）,東京都,03-5215-8671,未上場,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000000256.000073594.html
株式会社PLAY,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000186.000048688.html
アルファノート株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000143413.html
株式会社CREAVE,,中村真奈,中村真奈 様,,https://creave.co.jp/,情報通信,東京都,050-6861-5101,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000287.000023052.html
株式会社一蔵,,河端義彦,河端義彦 様,,http://www.ichikura.jp/,サービス業,東京都,03-5297-5151,東証スタンダード,1991,PR TIMES,https://prtimes.jp/main/html/rd/p/000000145.000033952.html
YOMIURI BRAND STUDIO／読売新聞社,,,,,https://ybs.yomiuri.co.jp,情報通信,東京都,03-3242-1111,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000030463.html
株式会社ブランジスタ,,井上秀嗣,井上秀嗣 様,,http://www.brangista.com/,サービス業,北海道,,東証スタンダード,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000254.000008669.html
一般社団法人フリーBGM協会,,宮川雄一,宮川雄一 様,,https://freebgm.org/,財団法人・社団法人・宗教法人,東京都,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000017.000137905.html
NE株式会社,,,,,,,神奈川県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000063.000125456.html
株式会社ECXグループ,,清水将平,清水将平 様,,http://ecxg.co.jp/,サービス業,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000038.000170037.html
FORCE-R株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000107108.html
株式会社GoalTech,,江田,江田 様,,https://lp.goaltech.co.jp/,情報通信,神奈川県,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000157451.html
株式会社クロス・マーケティンググループ,,髙栖,髙栖 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000236.000071371.html
PIVOT株式会社,伊藤みさき,佐々木,伊藤みさき 様,,https://www.pivot.inc,サービス業,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000045.000083417.html
KOBUSHI MARKETING合同会社,,井上裕介,井上裕介 様,,https://peatix.com/event/5047520,情報通信,東京都,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000382.000061977.html
パーソルキャリア株式会社,,瀬野尾裕,瀬野尾裕 様,,https://www.persol-career.co.jp/,サービス業,東京都,,未上場,1989,PR TIMES,https://prtimes.jp/main/html/rd/p/000001056.000022215.html
株式会社ENPASS,,川岸,川岸 様,,https://enpass.agency,サービス業,東京都,03-3780-7194,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000015.000076957.html
株式会社ケイズプロジェクト,,小辻富明,小辻富明 様,,http://www.ksprojectinc.co.jp,サービス業,東京都,06-6260-2369,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000019.000007035.html
株式会社エビリー,,中川恵介,中川恵介 様,,https://eviry.com/,情報通信,東京都,03-6452-8917,未上場,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000239.000021986.html
ReBear合同会社,,荒川力哉,荒川力哉 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000155573.html
株式会社トドオナダ,,松本,松本 様,,https://qlipper.jp/,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000242.000054369.html
株式会社 日経BP,,井口哲也,井口哲也 様,,https://www.nikkeibp.co.jp/,情報通信,東京都,,未上場,1969,PR TIMES,https://prtimes.jp/main/html/rd/p/000000320.000041279.html
一般社団法人日本エビデンスベーストマーケティング研究機構,,木田浩理,木田浩理 様,,https://ebmi.jp/,財団法人・社団法人・宗教法人,東京都,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000159817.html
株式会社コレクシア,,村山幹朗,村山幹朗 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000163198.html
株式会社デジタリフト,,百本正博,百本正博 様,,https://digitalift.co.jp/,情報通信,東京都,03-6434-9896,東証グロース資本,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000096.000048559.html
株式会社オールトゥデイ,,小野真寿,小野真寿 様,,https://www.alltoday.jp/,情報通信,：埼玉県,048-638-7035,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000137.000107850.html
株式会社ライズ・コンサルティング・グループ,,梅津,梅津 様,,http://www.rise-cg.co.jp,サービス業,東京都,03-6441-2915,東証グロース資本,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000041.000058161.html
アルサーガパートナーズ株式会社,,,,,http://www.arsaga.jp,情報通信,東京都,03-3461-3028,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000346.000028308.html
株式会社日立ソリューションズ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000384.000053429.html
アイディルートコンサルティング株式会社,,石川耕,石川耕 様,,https://idealroute.jp/,情報通信,東京都,03-6479-0573,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000062.000115624.html
株式会社NSJAPAN,,コメント,コメント 様,,https://ns-japan.com/,サービス業,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000026.000156783.html
プロデリア・パートナーズ株式会社,,吉澤和之,吉澤和之 様,,https://prodelia.co.jp/,サービス業,東京都,,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000177409.html
アルティウスリンク株式会社,,那谷,那谷 様,,https://dxpo.jp/real/box/tokyo/,サービス業,東京都,,未上場,1996,PR TIMES,https://prtimes.jp/main/html/rd/p/000000503.000019180.html
株式会社ベルシステム24ホールディングス,,梶原浩,梶原浩 様,,https://www.bell24.co.jp/ja/,サービス業,東京都,03-6896-6199,東証プライム資本,1982,PR TIMES,https://prtimes.jp/main/html/rd/p/000000232.000109272.html
株式会社アイティフォー,,坂田,坂田 様,,https://www.itfor.co.jp/,情報通信,東京都,03-5275-7841,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000185.000060050.html
日本アイ・ビー・エム株式会社,,山口明夫,山口明夫 様,,https://www.ibm.com/jp-ja,情報通信,（福岡県,03-6667-1111,未上場,1937,PR TIMES,https://prtimes.jp/main/html/rd/p/000000722.000046783.html
MOLTON株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000052.000126939.html
パーソルビジネスプロセスデザイン株式会社,菅野 美幸,市村和幸,菅野 美幸 様,採用部,https://www.persol-bd.co.jp/,サービス業,東京都,03-6385-0900,未上場,1977,PR TIMES,https://prtimes.jp/main/html/rd/p/000000192.000124841.html
株式会社full house,,,,,,,神奈川県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000117506.html
株式会社アストン,,上西龍,上西龍 様,,https://aston.jp/,情報通信,：埼玉県,048-866-3399,未上場,1998,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000185802.html
株式会社アトミテック,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000030.000037919.html
株式会社クリエアナブキ,,楠戸,楠戸 様,,https://www.crie.co.jp/,サービス業,:香川県,087-822-8898,未上場,1986,PR TIMES,https://prtimes.jp/main/html/rd/p/000000093.000030286.html
株式会社BOD,,田中大善,田中大善 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000160.000096110.html
独立行政法人国立高等専門学校機構,,中島英治,中島英治 様,,https://www.kosen-k.go.jp/,教育・学習支援業,（長野県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000715.000075419.html
一般社団法人 日本イノベーション融合学会,,藤掛正史,藤掛正史 様,,https://ifsj.or.jp,財団法人・社団法人・宗教法人,東京都,090-5195-9053,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000108202.html
株式会社ウィルグループ,,名角裕一,名角裕一 様,,https://willgroup.co.jp/,サービス業,東京都,03-6859-8880,東証プライム資本,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000411.000034777.html
国立大学法人岡山大学,,那須保友,那須保友 様,,https://www.okayama-u.ac.jp/,教育・学習支援業, 岡山県,086-252-1111,未上場,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000004120.000072793.html
株式会社カオナビ,,,,,https://corp.kaonavi.jp/,情報通信,東京都,,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000358.000030113.html
フィシルコム株式会社,,与謝,与謝 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000086.000145240.html
株式会社HERP,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000126.000030340.html
freecracy株式会社,,国本和基,国本和基 様,,https://freecracy.com/,情報通信,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000037201.html
株式会社日テレHR総合研究所,,中村博行,中村博行 様,,https://ntv-hr.com/,サービス業,東京都,,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000026.000167191.html
Institution for a Global Society 株式会社,,,,,https://www.i-globalsociety.com/,情報通信,東京都,03-6447-7151,東証グロース資本,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000086.000054457.html
リクレングス株式会社,,小山剛史,小山剛史 様,,https://recrength.jp/,サービス業,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000141122.html
株式会社Parkour Japan,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000026.000176617.html
Sooon株式会社,,金本相太,金本相太 様,,https://sooon-web.com/,情報通信,大阪府,06-4256-6986,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000160615.html
コムチュア株式会社,,亀井貴裕,亀井貴裕 様,,https://www.comture.com/,情報通信,東京都,03-5745-9700,東証プライム資本,1985,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000145778.html
株式会社Emooove,,藤澤諒一,藤澤諒一 様,,https://emooove.co.jp/column,サービス業,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000171.000149623.html
株式会社翔泳社,,臼井かおる,臼井かおる 様,,https://www.shoeisha.co.jp/,教育・学習支援業,東京都,,未上場,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000715.000034873.html
フロンティア株式会社,,高橋,高橋 様,,https://frontier-gr.jp/,サービス業,東京都,0120-311-532,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000304.000016175.html
株式会社ミュートス,,富山慎二,富山慎二 様,,,情報通信,大阪府,06-6266-0440,未上場,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000031.000049259.html
株式会社ナビット,,福井泰代,福井泰代 様,,https://www.navit-j.com/,情報通信,東京都,03-5215-5713,未上場,2001,PR TIMES,https://prtimes.jp/main/html/rd/p/000002201.000080271.html
株式会社ジオコード,,原口,原口 様,,https://www.geo-code.co.jp/,サービス業,東京都,03-6274-8081,東証スタンダード,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000424.000006185.html
株式会社nonii,,片寄裕介,片寄裕介 様,,https://nonii.co.jp,商業（卸売業、小売業）,（静岡県,054-395-7408,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000169.000101362.html
一般社団法人自治体DX推進協議会,,許斐慎之介,許斐慎之介 様,,https://www.gdx.or.jp/,財団法人・社団法人・宗教法人,東京都,03-6683-0106,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000351.000132312.html
株式会社AlbaLink,,河田憲二代表番号,河田憲二代表番号 様,,https://albalink.co.jp/,不動産業,、福井県,03-6458-8135,,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000402.000055654.html
合同会社DMM.com,,亀山敬司,亀山敬司 様,,https://dmm-corp.com/,情報通信,大阪府,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000005065.000002581.html
デジタル・インフォメーション・テクノロジー株式会社,,市川聡,市川聡 様,,http://www.ditgroup.jp,情報通信,北海道,03-6311-6520,東証プライム資本,2002,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000024265.html
有限会社黒川温泉農園,,音成貴道,音成貴道 様,,https://www.okunoyu.com/,飲食店・宿泊業,（熊本県,0967-44-0021,未上場,1974,PR TIMES,https://prtimes.jp/main/html/rd/p/000000003.000148668.html
一般社団法人 日本テレワーク協会,,吉澤和弘,吉澤和弘 様,,https://japan-telework.or.jp/,財団法人・社団法人・宗教法人,東京都,03-5577-4572,未上場,1993,PR TIMES,https://prtimes.jp/main/html/rd/p/000000043.000113405.html
株式会社RemitAid,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000030.000108273.html
株式会社フォーバル,,中島將典,中島將典 様,,https://www.forval.co.jp/,情報通信,東京都,03-3498-1541,東証スタンダード,1980,PR TIMES,https://prtimes.jp/main/html/rd/p/000000422.000104276.html
株式会社ギフティ,,荒賀,荒賀 様,,http://giftee.co.jp/,情報通信,東京都,,東証プライム資本,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000672.000004529.html
株式会社三菱UFJフィナンシャル・グループ,,亀澤宏規,亀澤宏規 様,,,金融・保険業,東京都,,東証1部資本金-,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000165.000079050.html
Prusa Research a.s.,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000149901.html
株式会社パソナグループ,,若本博隆,若本博隆 様,,http://www.pasonagroup.co.jp/,サービス業,を兵庫県,03-6734-0200,東証1部資本金5,2007,PR TIMES,https://prtimes.jp/main/html/rd/p/000002249.000016751.html
サントリーホールディングス株式会社,,鳥井信宏,鳥井信宏 様,,,製造業,、熊本県,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001554.000042435.html
株式会社NTTファシリティーズ,,川口晋,川口晋 様,,https://www.ntt-f.co.jp/,建設業,東京都,03-5444-5112,未上場,1992,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000134148.html
アスエネ株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000715.000058538.html
株式会社フューチャーセッションズ,,有福英幸,有福英幸 様,,https://www.futuresessions.com/,サービス業,東京都,03-6427-9911,未上場,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000062.000037790.html
株式会社サンヴィレッジ,,三村挑嗣,三村挑嗣 様,,https://sunvillage-co-ltd.com/,建設業,東京都,048-729-8891,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000073.000086244.html
株式会社マーケットエンタープライズ,,小林泰士,小林泰士 様,,http://www.marketenterprise.co.jp/,商業（卸売業、小売業）,ー鳥取県,03-5159-4060,東証スタンダード,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000541.000015239.html
株式会社エコデシック,,加藤尊正,加藤尊正 様,,,,神奈川県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000062210.html
公益財団法人 横浜市芸術文化振興財団,,近藤誠一,近藤誠一 様,,http://p.yafjp.org/jp,財団法人・社団法人・宗教法人,,045-221-0212,,1991,PR TIMES,https://prtimes.jp/main/html/rd/p/000001539.000014302.html
株式会社ジェイアール東海ホテルズ,,伊藤彰彦,伊藤彰彦 様,,https://www.associa.com/,飲食店・宿泊業,：愛知県,052-584-1222,未上場,1992,PR TIMES,https://prtimes.jp/main/html/rd/p/000000259.000076395.html
株式会社クレイドル,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000134486.html
Well Body株式会社,,水野純一,水野純一 様,,https://offi-stretch.com/,サービス業,東京都,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000067.000132303.html
ベジタブルテック株式会社,,岩崎真宏,岩崎真宏 様,,https://vegetabletech.co.jp/,商業（卸売業、小売業）,。兵庫県,06-4400-6941,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000019.000097005.html
株式会社YStory,,,,,https://www.ystoryfemtech.com/,医療・福祉,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000020.000122669.html
一般社団法人LITTLE ARTISTS LEAGUE,,ルミコ,ルミコ 様,,https://www.littleartistsleague.org,教育・学習支援業,年兵庫県,070-9002-0986,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000054481.html
ビズメイツ株式会社,,鈴木伸明,鈴木伸明 様,,https://www.bizmates.co.jp/,教育・学習支援業,東京都,03-3526-2654,東証グロース資本,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000207.000006561.html
一般社団法人心健美,,玄甫和美,玄甫和美 様,,,サービス業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000185935.html
特定非営利活動法人両育わーるど,,重光喬之,重光喬之 様,,https://ryoiku.org/info/,医療・福祉,東京都,,未上場,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000018.000140185.html
株式会社ファンケル,,三橋英記,三橋英記 様,,http://www.fancl.jp/index.html,製造業,「岡山県,045-226-1200,未上場,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000001562.000017666.html
株式会社Zeal's  Planning,,名泉範彦,名泉範彦 様,,,飲食店・宿泊業,北海道,011-215-4280,,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000163231.html
さんはぴ合同会社,,坂口拓郎,坂口拓郎 様,,,サービス業,報埼玉県,070-8394-5878,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000143113.html
株式会社　生活の木,,重永忠,重永忠 様,,https://www.treeoflife.co.jp/,商業（卸売業、小売業）,東京都,03-3409-1781,未上場,1967,PR TIMES,https://prtimes.jp/main/html/rd/p/000000080.000092325.html
Ｇ－ＦＡＣＴＯＲＹ株式会社,,片平,片平 様,,http://g-fac.jp/,サービス業,東京都,03-5325-6868,東証グロース資本,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000539.000023530.html
株式会社イートアンドホールディングス,,文野直樹,文野直樹 様,,http://www.eat-and.jp,飲食店・宿泊業,ー滋賀県,03-5769-5050,東証プライム資本,1977,PR TIMES,https://prtimes.jp/main/html/rd/p/000001055.000010329.html
株式会社SENKA,,栗田康弘,栗田康弘 様,,https://kaitori-senka.co.jp/,商業（卸売業、小売業）,東京都,03-6824-5867,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000077.000143963.html
株式会社オールハーツ・カンパニー,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001234.000035909.html
株式会社MARU,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000182.000046377.html
エスパシオエンタープライズ株式会社,,田渕浩之,田渕浩之 様,,https://www.espacioenterprise.com/,飲食店・宿泊業,地愛知県,052-231-7829,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000145.000097639.html
ユナイテッド・スーパーマーケット・ホールディングス株式会社,,井出武美,井出武美 様,,https://www.usmh.co.jp/,商業（卸売業、小売業）,東京都,03-5577-3009,東証スタンダード,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000100.000135992.html
コナミスポーツ株式会社,,室田健志,室田健志 様,,https://www.konami.com/sportsclub/corporate/ja/,サービス業,神奈川県,03-5769-0573,未上場,1973,PR TIMES,https://prtimes.jp/main/html/rd/p/000000237.000056940.html
株式会社キャラット,,奥野貴之,奥野貴之 様,,http://caratt.studio/,サービス業,：奈良県,0745-77-0123,未上場,1994,PR TIMES,https://prtimes.jp/main/html/rd/p/000000228.000060054.html
株式会社HACCI,,渡部樹里,渡部樹里 様,,https://arcusmore.com/,サービス業,東京都,03-6661-1736,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000179114.html
ハイアット チェイン サービス リミテッド,,坂村政彦,坂村政彦 様,,http://www.hyatt.com,飲食店・宿泊業,東京都,03-4332-0365,,1971,PR TIMES,https://prtimes.jp/main/html/rd/p/000000136.000008031.html
オリックス・ホテルマネジメント株式会社,,似内隆晃,似内隆晃 様,,https://www.orix-realestate.co.jp/hotelmanagement/,サービス業,北海道,03-5776-3421,未上場,1997,PR TIMES,https://prtimes.jp/main/html/rd/p/000000588.000101028.html
岩崎電気株式会社,,伊藤義剛,伊藤義剛 様,,https://www.iwasaki.co.jp/,製造業,る埼玉県,03-5846-9010,未上場,1944,PR TIMES,https://prtimes.jp/main/html/rd/p/000000121.000097099.html
ホテルマネージメントインターナショナル株式会社,,比良竜虎,比良竜虎 様,,https://hmihotelgroup.com/,サービス業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000372.000031330.html
バーリ合同会社,,内田誠也,内田誠也 様,,https://burry.co.jp/company,情報通信,東京都,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000104256.html
株式会社リロバケーションズ,,田村佳克,田村佳克 様,,https://relovacations.com/,サービス業,東京都,03-6630-7970,東証プライム資本,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000697.000010207.html
株式会社アントレ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000133.000059360.html
株式会社サニーサイドライフ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000016.000046691.html
d'strict,,,,,https://www.dstrict.com/,サービス業,、愛知県,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000185504.html
reth株式会社,,田口雄,田口雄 様,,https://hakubacraft.jp/,製造業,：長野県,050-3131-8001,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000029.000109713.html
株式会社魁力屋,,藤田宗,藤田宗 様,,https://corp.kairikiya.co.jp/,飲食店・宿泊業,東京都,075-211-3338,東証スタンダード,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000321.000019478.html
株式会社庫や,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000215.000040854.html
店舗情報サービス株式会社,,繁友健志,繁友健志 様,,,不動産業,東京都,,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000072.000161189.html
名古屋鉄道株式会社,,,,,,,三重県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000504.000089084.html
株式会社　カクシン,,田尻望,田尻望 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000057.000083720.html
株式会社Omluc,,岸田,岸田 様,,https://omluc.com/,情報通信,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000025.000128744.html
クロスメディアグループ株式会社,,小早川幸一郎,小早川幸一郎 様,,https://cm-group.jp/,情報通信,東京都,03-5413-3140,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000970.000080658.html
