企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
交通システム電機株式会社,03-5337-8801,soumu@tsec.co.jp,半導体・電子・電気機器,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.56x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[半導体・電子・電気機器]0.56x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
岩井機械工業株式会社,03-3744-1119,,プラント・エンジニアリング,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.6%,0.42x,0.43x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[プラント・エンジニアリング]0.43x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.6%
三井食品株式会社,03-6700-7102,jinji@mitsuifoods.co.jp,商社（食品・農林・水産）,1千～2千人未満,21～25名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,7,7.3%,0.42x,0.52x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[商社（食品・農林・水産）]0.52x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込7.3%
三洋化成工業株式会社,075-541-4322,,化学,1千～2千人未満,11～15名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,7,6.5%,0.42x,0.46x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[化学]0.46x｜規模[1000-2000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込6.5%
社会福祉法人ヒューマンライツ福祉協会,06-6636-9900,,福祉サービス,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.55x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
社会福祉法人松里福祉会,047-711-9129,,福祉サービス,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.55x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
社会福祉法人フジの会,075-641-7777,honbu@fujinokai.jp,福祉サービス,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.55x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
社会福祉法人おおとり福祉会,072-275-1555,,福祉サービス,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.55x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
社会福祉法人ナザレ園,029-296-0316,,福祉サービス,100～300人未満,11～15名,03：コネクト情報獲得,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.8%,0.42x,0.55x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.8%
社会福祉法人心聖会,047-488-8222,y.ysmr@e-shinseikai.or.jp,福祉サービス,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.55x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
社会福祉法人サンライズ,042-597-2021,saiyou@h-sunrise.com,福祉サービス,100～300人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.8%,0.42x,0.55x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込6.8%
森ビル株式会社,03-6406-6633,students@mori.co.jp,不動産,1千～2千人未満,26～30名,02：担当者未接触,コールド媒体一括,有効(上限),スタンダード提案,7,6.5%,0.42x,0.46x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.5%
森トラスト株式会社,03-5511-2228,saiyou@mori-trust.co.jp,不動産,300～500人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,7.0%,0.42x,0.46x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込7.0%
杉乃井ホテル&リゾート株式会社,0977-24-1141,jinji05@suginoi-hotel.com,ホテル・旅館,500～1千人未満,26～30名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,7,7.4%,0.42x,0.52x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[ホテル・旅館]0.52x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込7.4%
東海交通機械株式会社総務部,052-566-2081,,サービス（その他）,500～1千人未満,16～20名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,7,6.6%,0.42x,0.47x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込6.6%
天昇電気工業株式会社,0595-20-1040,,化学,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,7.1%,0.42x,0.46x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[化学]0.46x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込7.1%
日興自動車株式会社,03-3984-6251,,陸運（貨物・バス・タクシー）,100～300人未満,16～20名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.5%,0.42x,0.53x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[陸運（貨物・バス・タクシー）]0.53x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込6.5%
八光自動車工業株式会社,06-6714-3338,,商社（自動車関連・輸送用機器）,100～300人未満,21～25名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,7.3%,0.42x,0.60x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[商社（自動車関連・輸送用機器）]0.60x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込7.3%
不二サッシ株式会社,03-6867-0770,recruit@fujisash.net,建材・エクステリア,500～1千人未満,21～25名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,7,6.5%,0.42x,0.46x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[建材・エクステリア]0.46x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.5%
北興化学工業株式会社,0859-270450,ejinji@hokkochem.co.jp,化学,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,7,6.5%,0.42x,0.46x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[化学]0.46x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込6.5%
トヨタモビリティパーツ株式会社広島支社・島根支社,082-885-1221,khir-ab0@hiroshima-kyohan.co.jp,商社（自動車関連・輸送用機器）,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,7.4%,0.42x,0.60x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[商社（自動車関連・輸送用機器）]0.60x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込7.4%
マツダクレジット株式会社,06-7739-0590,recruit@mazdacr.co.jp,クレジット・信販,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,7.0%,0.42x,0.57x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[クレジット・信販]0.57x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込7.0%
イサハヤ電子株式会社,0957-26-3592,saiyo@idc-com.co.jp,半導体・電子・電気機器,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,7,6.9%,0.42x,0.56x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[半導体・電子・電気機器]0.56x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.9%
キユーピーグループ,042-441-2074,saki_ito@dws.krs.co.jp,食品,500～1千人未満,21～25名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.0%,0.42x,0.43x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.0%
株式会社オンアンドオン,03-6258-2960,recruit@onandon.jp,福祉サービス,100～300人未満,31～35名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.2%,0.42x,0.55x,1.12x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[福祉サービス]0.55x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込6.2%
国際空港上屋株式会社,03-3863-5930,iactsaiyou@iactcgo.co.jp,物流・倉庫,100～300人未満,11～15名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.0%
東洋不動産株式会社,03-3504-2281,t-arai@toyopro.co.jp,不動産,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.7%,0.42x,0.46x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込5.7%
エヌ・ティ・ティ都市開発株式会社,03-6811-6300,ntt-ud@disc.co.jp,不動産,300～500人未満,36～40名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.5%,0.42x,0.46x,1.41x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[300-500名]1.41x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込6.5%
オハヨー乳業株式会社,03-5275-0840,w_jinji@ohayo-milk.com,食品,500～1千人未満,21～25名,04：ジャッジ,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.0%,0.42x,0.43x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.0%
テルウェル東日本株式会社,03-3350-7121,jinkai@telwel-east.co.jp,商社（文具・事務用品・日用品）,5千～1万人未満,16～20名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,6,5.5%,0.42x,0.57x,0.89x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（文具・事務用品・日用品）]0.57x｜規模[5000-1万名]0.89x｜新卒採用[16-20名]1.52x｜競合ATS確認｜成約見込5.5%
フルラジャパン株式会社,03-5770-4161,recruit.japan@furla.com,商社（アパレル・ファッション関連）,300～500人未満,21～25名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.6%,0.42x,0.37x,1.41x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[商社（アパレル・ファッション関連）]0.37x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込5.6%
一般社団法人日本貨物検数協会,03-3543-3217,tokyosou2@jctc.or.jp,サービス（その他）,1千～2千人未満,51～100名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,6,5.7%,0.42x,0.47x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込5.7%
横河電機株式会社,0422-52-7796,entry@cs.jp.yokogawa.com,重電・産業用電気機器,2千～5千人未満,41～45名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,6,5.5%,0.42x,0.48x,1.15x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[重電・産業用電気機器]0.48x｜規模[2000-5000名]1.15x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込5.5%
株式会社アール・ティー・コーポレーション,03-5205-6041,tsuruoka@rt-c.co.jp,外食・レストラン,100～300人未満,36～40名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.5%,0.42x,0.57x,1.12x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[外食・レストラン]0.57x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込6.5%
株式会社キャスト,0123-46-5472,cast.roumu@hkkg.co.jp,サービス（その他）,100～300人未満,21～25名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.7%,0.42x,0.47x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込5.7%
株式会社エスアールエル,03-6279-0900,huhd.saiyo@hugp.com,サービス（その他）,2千～5千人未満,16～20名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,6,5.9%,0.42x,0.47x,1.15x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[2000-5000名]1.15x｜新卒採用[16-20名]1.52x｜競合ATS確認｜成約見込5.9%
株式会社虎屋,03-3408-4127,,食品,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.0%,0.42x,0.43x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込6.0%
株式会社ジーテクト,042-553-9388,recruit@g-tekt.jp,自動車,1千～2千人未満,26～30名,04：ジャッジ,お断り再利用,有効(上限),スタンダード提案,6,6.5%,0.50x,0.38x,1.30x,1.53x,4,経路[お断り再利用]0.50x｜業種[自動車]0.38x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.5%
株式会社スズキ自販湘南,0463-55-3810,sinuduka@j-syonan.sdr.suzuki,専門店（自動車関連）,100～300人未満,6～10名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.4%,0.42x,0.51x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[専門店（自動車関連）]0.51x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.4%
株式会社スタディーネットワーク,055-223-5507,gakushu-kukan@study-network.com,教育,100～300人未満,16～20名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[教育]0.49x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込6.0%
株式会社デンソーテン,078-682-2009,grm-fresh@denso-ten.com,自動車・自動車部品,2千～5千人未満,101～200名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,6,5.5%,0.42x,0.61x,1.15x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[自動車・自動車部品]0.61x｜規模[2000-5000名]1.15x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込5.5%
株式会社ナカムラロジスティクス,03-3451-4161,jinji-saiyo@nli.jp,物流・倉庫,100～300人未満,6～10名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.1%,0.42x,0.49x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込6.1%
株式会社フジキン,03-5209-8251,entry-hon@fujikin.co.jp,精密機器,500～1千人未満,51～100名,04：ジャッジ,コールド媒体一括,有効(中堅上),スタンダード提案,6,5.6%,0.42x,0.46x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[精密機器]0.46x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込5.6%
株式会社ビームス,03-3470-9237,,専門店（アパレル・ファッション関連）,1千～2千人未満,26～30名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,6,6.2%,0.42x,0.43x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[専門店（アパレル・ファッション関連）]0.43x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込6.2%
株式会社医療システム研究所,03-5543-0176,recruit@srd-hd.co.jp,サービス（その他）,100～300人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.7%,0.42x,0.47x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込5.7%
株式会社ロジパルエクスプレス,03-3695-5151,blp-saiyo@blpinc.com,物流・倉庫,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.0%
株式会社ベニレイ,03-3769-0031,saiyo@benirei.co.jp,商社（食品・農林・水産）,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.3%,0.42x,0.52x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（食品・農林・水産）]0.52x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.3%
株式会社ミリアルリゾートホテルズ,047-305-2815→②→⑤,,ホテル・旅館,1千～2千人未満,51～100名,03：コネクト情報獲得,コールド媒体一括,有効(上限),スタンダード提案,6,6.4%,0.42x,0.52x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[ホテル・旅館]0.52x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込6.4%
株式会社ヰセキ関東,029-887-6131,saiyo@iseki-kkse.co.jp,商社（機械・プラント・環境）,500～1千人未満,16～20名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,6,5.6%,0.42x,0.39x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（機械・プラント・環境）]0.39x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込5.6%
株式会社ワイエムシィ,075-342-4510,recruit@ymc.co.jp,化学,100～300人未満,16～20名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.6%,0.42x,0.46x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[化学]0.46x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込5.6%
株式会社丸山運送,022-258-0665,to.takeuchi@the080.co.jp,物流・倉庫,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.0%
株式会社関電パワーテック,06-4705-8630,saiyou@kanden-pt.co.jp,プラント・エンジニアリング,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.1%,0.42x,0.43x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[プラント・エンジニアリング]0.43x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込6.1%
株式会社紀文食品,03-6891-2600,saiyo_tanto@kibun.co.jp,食品,1千～2千人未満,16～20名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,6,6.0%,0.42x,0.43x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込6.0%
株式会社三井不動産ホテルマネジメント,03-3548-0338,human_resource@gardenhotels.co.jp,ホテル・旅館,500～1千人未満,51～100名,04：ジャッジ,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.4%,0.42x,0.52x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[ホテル・旅館]0.52x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込6.4%
株式会社長谷工リアルエステート,03-5440-5808,hre-saiyo@haseko.co.jp,不動産,300～500人未満,51～100名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.1%,0.42x,0.46x,1.41x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[300-500名]1.41x｜新卒採用[51-100名]1.32x｜ミニマム/ミドル｜成約見込6.1%
株式会社築港,078-391-6680,,物流・倉庫,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.0%
株式会社東京エネシス,03-6371-5321,ishihara.10588@qtes.co.jp,プラント・エンジニアリング,1千～2千人未満,36～40名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,6,5.6%,0.42x,0.43x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[プラント・エンジニアリング]0.43x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込5.6%
株式会社東海近畿クボタ,06-6491-6633,,商社（機械・プラント・環境）,500～1千人未満,16～20名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,6,5.6%,0.42x,0.39x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（機械・プラント・環境）]0.39x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込5.6%
株式会社二葉,03-3473-8210,,物流・倉庫,100～300人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込6.0%
株式会社奈良自動車学校,0742-45-4666,s-masuo@ace.ocn.ne.jp,教育,100～300人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[教育]0.49x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込6.0%
551HORAIグループ,06-7733-0551,jinji@551horai.co.jp,食品,500～1千人未満,11～15名,03：コネクト情報獲得,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.0%,0.42x,0.43x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込6.0%
株式会社舞浜コーポレーション,047-305-5370,som@mcc.olc.co.jp,サービス（その他）,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,5.8%,0.42x,0.47x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[サービス（その他）]0.47x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込5.8%
株式会社林原,086-224-4309,,食品,500～1千人未満,6～10名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,6,6.1%,0.42x,0.43x,1.30x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[食品]0.43x｜規模[500-1000名]1.30x｜新卒採用[6-10名]1.55x｜スタンダード提案｜成約見込6.1%
三菱地所株式会社,03-3287-5100,recruit@mec.co.jp,不動産,500～1千人未満,51～100名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,6,5.6%,0.42x,0.46x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込5.6%
三菱食品株式会社,03-4553-5005,saiyo@mitsubishi-shokuhin.com,商社（食品・農林・水産）,2千～5千人未満,51～100名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,6,5.6%,0.42x,0.52x,1.15x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[商社（食品・農林・水産）]0.52x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込5.6%
三菱電機ロジスティクス株式会社,03-5352-2700,,物流・倉庫,1千～2千人未満,36～40名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,6,6.5%,0.42x,0.49x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込6.5%
三菱ＵＦＪ不動産販売株式会社,03-3237-4500,,不動産,1千～2千人未満,46～50名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,6,6.0%,0.42x,0.46x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[不動産]0.46x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込6.0%
三井倉庫ホールディングス株式会社,03-6775-3140,recruit@mitsui-soko.co.jp,物流・倉庫,100～300人未満,26～30名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,6,6.0%,0.42x,0.49x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[物流・倉庫]0.49x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込6.0%
