企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
日立空調関東株式会社,03-5999-1126,,不動産・建設・設備,100～300人未満,11～15名,01：新規,お断り再利用,主戦場(スイート),ミニマム/ミドル,20,20.4%,0.50x,1.40x,1.12x,1.52x,4,経路[お断り再利用]0.50x｜業種[不動産・建設・設備]1.40x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込20.4%
日本海事検定協会（一般社団法人）本部,03-3552-1241,saiyou@nkkk.or.jp,海運,1千～2千人未満,26～30名,02：担当者未接触,その他タグ,有効(上限),スタンダード提案,19,19.5%,1.22x,0.47x,1.30x,1.53x,4,経路[その他タグ]1.22x｜業種[海運]0.47x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込19.5%
株式会社コンヴァノ,03-6696-6302,recruit_ng@convano.com,化粧品,300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,19,19.2%,1.26x,0.42x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[化粧品]0.42x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込19.2%
株式会社大分銀行,097-534-1111,,銀行（地銀）,1千～2千人未満,46～50名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,19,18.8%,0.42x,1.43x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[銀行（地銀）]1.43x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込18.8%
株式会社筑邦銀行,0942-32-5331,,銀行（地銀）,500～1千人未満,36～40名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,19,18.7%,0.42x,1.43x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[銀行（地銀）]1.43x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込18.7%
社会福祉法人あざみ会,03-6433-1477,115-kawanishi@azamikai.or.jp,福祉・介護,100～300人未満,11～15名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,19,19.0%,1.26x,0.52x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[福祉・介護]0.52x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込19.0%
日本電産テクノモータ株式会社総務部,0770-60-2111,new-recruit@nidec-tecnom.co.jp,半導体・電子部品・その他,2千～5千人未満,21～25名,01：新規,未タグ(温/手入力),要注意(大),競合ATS確認,19,19.1%,1.26x,0.51x,1.15x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[半導体・電子部品・その他]0.51x｜規模[2000-5000名]1.15x｜新卒採用[21-30名]1.53x｜競合ATS確認｜成約見込19.1%
株式会社エムアンドケイ,076-240-6060→③→③,,外食・フードサービス,100～300人未満,16～20名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,18,18.1%,0.50x,1.24x,1.12x,1.52x,4,経路[お断り再利用]0.50x｜業種[外食・フードサービス]1.24x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込18.1%
株式会社サッポロドラッグストアー,011-788-5166,,ドラッグストア,500～1千人未満,51～100名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,18,17.7%,0.42x,1.44x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[ドラッグストア]1.44x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込17.7%
株式会社熊本銀行,096-385-1111,jinji@kumamotobank.co.jp,銀行（地銀）,500～1千人未満,51～100名,02：担当者未接触,コールド媒体一括,有効(中堅上),スタンダード提案,18,17.6%,0.42x,1.43x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[銀行（地銀）]1.43x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込17.6%
社会福祉法人敬愛学園,042-663-4017,keiai-sayou@keiaigakuen.com,その他,300～500人未満,31～35名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,18,18.4%,0.50x,1.09x,1.41x,1.41x,4,経路[お断り再利用]0.50x｜業種[その他]1.09x｜規模[300-500名]1.41x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込18.4%
株式会社ヤマウ人事部,092-718-2260,,建設,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,17,16.9%,1.26x,0.45x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[建設]0.45x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込16.9%
ザ・ホテリエ・グループ万座株式会社,098-966-1270,,レジャー・アミューズメントサービス,100～300人未満,11～15名,01：新規,お断り再利用,主戦場(スイート),ミニマム/ミドル,17,16.7%,0.50x,1.14x,1.12x,1.52x,4,経路[お断り再利用]0.50x｜業種[レジャー・アミューズメントサービス]1.14x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込16.7%
株式会社城島高原オペレーションズ,0977-22-1166,jinji@kijimakogen.jp,レジャー・アミューズメントサービス,100～300人未満,6～10名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,17,17.0%,0.50x,1.14x,1.12x,1.55x,4,経路[お断り再利用]0.50x｜業種[レジャー・アミューズメントサービス]1.14x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込17.0%
亀田製菓株式会社,025-382-2111,recruit@kameda.co.jp,食品,1千～2千人未満,16～20名,01：新規,その他タグ,有効(上限),スタンダード提案,17,17.5%,1.22x,0.43x,1.30x,1.52x,4,経路[その他タグ]1.22x｜業種[食品]0.43x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込17.5%
平和観光株式会社,078-321-7227,,アミューズメント,300～500人未満,26～30名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,17,17.0%,0.42x,1.11x,1.41x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[アミューズメント]1.11x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込17.0%
オーデリック株式会社,03-3332-1111,saiyo@odelic.co.jp,電気機械器具生産,300～500人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,16,15.6%,0.42x,1.00x,1.41x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[電気機械器具生産]1.00x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込15.6%
キョーワ株式会社,06-6244-7200,soumu@kyowa-inc.co.jp,その他メーカー,500～1千人未満,16～20名,01：新規,その他タグ,有効(中堅上),スタンダード提案,15,15.0%,1.22x,0.37x,1.30x,1.52x,4,経路[その他タグ]1.22x｜業種[その他メーカー]0.37x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込15.0%
ホテルオークラ東京ベイ,047-355-3333,recruit@okuratokyobay.net,観光ホテル,300～500人未満,26～30名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,15,15.4%,0.42x,1.00x,1.41x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[観光ホテル]1.00x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込15.4%
株式会社ワイ・デー・ケー,0198-62-6711,ydk_recruit@ydkinc.co.jp,通信用機械器具,300～500人未満,26～30名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,15,15.4%,0.42x,1.00x,1.41x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[通信用機械器具]1.00x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込15.4%
野村信託銀行株式会社,03-5202-1600,jinkai2@nomura-trust.co.jp,信託銀行・投資銀行・投資信託委託,300～500人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,15,15.3%,0.42x,1.00x,1.41x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[信託銀行・投資銀行・投資信託委託]1.00x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込15.3%
湧永製薬株式会社,06-6350-3555,recruit@wakunaga.co.jp,医薬品生産,300～500人未満,21～25名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,15,15.4%,0.42x,1.00x,1.41x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[医薬品生産]1.00x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込15.4%
旭興産グループ,03-3354-4851,recruit@asahi-kohsan-group.com,プラント・エンジニアリング,100～300人未満,46～50名,02：担当者未接触,その他タグ,主戦場(スイート),ミニマム/ミドル,14,14.0%,1.22x,0.43x,1.12x,1.41x,4,経路[その他タグ]1.22x｜業種[プラント・エンジニアリング]0.43x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込14.0%
プリマハム株式会社,03-6386-1800,saiyo@primaham.co.jp,畜産食料品生産,1千～2千人未満,21～25名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,14,14.2%,0.42x,1.00x,1.30x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[畜産食料品生産]1.00x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込14.2%
杏林製薬株式会社,03-6374-9700,s.kyorin-saiyo@mynavi.jp,経営コンサルタント,1千～2千人未満,11～15名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,14,14.2%,0.42x,1.00x,1.30x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[経営コンサルタント]1.00x｜規模[1000-2000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込14.2%
株式会社ＩＨＩインフラシステム,072-223-0981,iis-saiyou@ihi-g.com,橋梁(りょう)工事,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,14,14.1%,0.42x,1.00x,1.30x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[橋梁(りょう)工事]1.00x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込14.1%
株式会社共成レンテム,011-208-1380,,土木設計,500～1千人未満,11～15名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,14,14.1%,0.42x,1.00x,1.30x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[土木設計]1.00x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込14.1%
三菱地所レジデンス株式会社,03-6281-8000,saiyo@mec-r.com,不動産管理(マネジメント),1千～2千人未満,21～25名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,14,14.2%,0.42x,1.00x,1.30x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[不動産管理(マネジメント)]1.00x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込14.2%
倉敷化工株式会社,086-465-1152,jinji@kuraka.co.jp,ゴム工業,500～1千人未満,6～10名,02：担当者未接触,コールド媒体一括,有効(中堅上),スタンダード提案,14,14.4%,0.42x,1.00x,1.30x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[ゴム工業]1.00x｜規模[500-1000名]1.30x｜新卒採用[6-10名]1.55x｜スタンダード提案｜成約見込14.4%
中央フードサービス株式会社,06-6462-1741,recruit@cfs.co.jp,給食調理サービス,500～1千人未満,11～15名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,14,14.1%,0.42x,1.00x,1.30x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[給食調理サービス]1.00x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込14.1%
SGフィルダー株式会社,03-5665-2022,,人材派遣・人材紹介,1千～2千人未満,16～20名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,13,12.6%,0.42x,0.89x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[人材派遣・人材紹介]0.89x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込12.6%
株式会社SBGoodIndustry,096-323-7011,,アミューズメント,100～300人未満,16～20名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,13,13.5%,0.42x,1.11x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[アミューズメント]1.11x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込13.5%
静岡銀行,054-347-6685,jinji@jp.shizugin.com,銀行（地銀）,2千～5千人未満,201～300名,03：コネクト情報獲得,コールド媒体一括,要注意(大),競合ATS確認,13,13.0%,0.42x,1.43x,1.15x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[銀行（地銀）]1.43x｜規模[2000-5000名]1.15x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込13.0%
株式会社京都銀行,075-361-2211,y.nokihara@kyotobank.co.jp,銀行（地銀）,2千～5千人未満,101～200名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,13,13.0%,0.42x,1.43x,1.15x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[銀行（地銀）]1.43x｜規模[2000-5000名]1.15x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込13.0%
ＴＳネットワーク株式会社,03-3861-7431,,タバコ店,2千～5千人未満,16～20名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,13,12.5%,0.42x,1.00x,1.15x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[タバコ店]1.00x｜規模[2000-5000名]1.15x｜新卒採用[16-20名]1.52x｜競合ATS確認｜成約見込12.5%
社団法人共同通信社,03-6252-8000,kyodonews_jinji@kyodonews.jp,ニュース・データ通信,1千～2千人未満,46～50名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,13,13.1%,0.42x,1.00x,1.30x,1.41x,3,経路[コールド媒体一括]0.42x｜業種[ニュース・データ通信]1.00x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込13.1%
株式会社ソシエ・ワールド,03-5333-1136,socie_saiyo_e@socie.biz,エステティック・美容・理容,1千～2千人未満,51～100名,04：ジャッジ,コールド媒体一括,有効(上限),スタンダード提案,12,12.0%,0.42x,0.98x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[エステティック・美容・理容]0.98x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込12.0%
株式会社不二ビューティ,03-5304-1339,,エステティック・美容・理容,500～1千人未満,51～100名,02：担当者未接触,コールド媒体一括,有効(中堅上),スタンダード提案,12,12.0%,0.42x,0.98x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[エステティック・美容・理容]0.98x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込12.0%
株式会社ハウフルス,03-5411-0011,info@howfulls.co.jp,テレビ番組制作,100～300人未満,16～20名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[テレビ番組制作]1.00x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込12.2%
株式会社建通新聞社,054-288-8111,k-career@kentsu.co.jp,新聞社,100～300人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[新聞社]1.00x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込12.2%
株式会社三協デリカ,096-275-2171,recruit@sankyoo-d.co.jp,食品加工卸売り,100～300人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[食品加工卸売り]1.00x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込12.2%
株式会社　東部アシード,048-931-9195,k-fukai@tqc.or.jp,弁当仕出,100～300人未満,6～10名,03：コネクト情報獲得,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.4%,0.42x,1.00x,1.12x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[弁当仕出]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込12.4%
香川証券株式会社,087-851-8181,saiyo@kagawa-sc.co.jp,金融先物取引,100～300人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[金融先物取引]1.00x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込12.2%
今村証券株式会社,076-263-5222,saiyo@imamura.jp,証券業,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.4%,0.42x,1.00x,1.12x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[証券業]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込12.4%
太陽グリーンエナジー株式会社,0493-62-9001,recruit@taiyo-hd.co.jp,ソーラーシステム/ソーラー発電,100～300人未満,26～30名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.53x,3,経路[コールド媒体一括]0.42x｜業種[ソーラーシステム/ソーラー発電]1.00x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込12.2%
白銅株式会社,03-6212-2811,saiyou@hakudo.co.jp,金属製品生産,100～300人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.2%,0.42x,1.00x,1.12x,1.52x,3,経路[コールド媒体一括]0.42x｜業種[金属製品生産]1.00x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込12.2%
日本ファイバー株式会社,0944-86-5771,tekawano@gold.ocn.ne.jp,再生資源回収・卸売り,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.4%,0.42x,1.00x,1.12x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[再生資源回収・卸売り]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込12.4%
株式会社青木固研究所,0268-82-3015,saiyo@aokitech.co.jp,プラスチック加工機械,100～300人未満,6～10名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,12,12.4%,0.42x,1.00x,1.12x,1.55x,3,経路[コールド媒体一括]0.42x｜業種[プラスチック加工機械]1.00x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込12.4%
株式会社ブレイブ,03-5322-7380,saiyo.brave@gmail.com,人材派遣・人材紹介,100～300人未満,21～25名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,11,10.8%,0.42x,0.89x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[人材派遣・人材紹介]0.89x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込10.8%
株式会社日本政策金融公庫,03-3270-0637,,政府系・系統金融機関,5千～1万人未満,201～300名,04：ジャッジ,コールド媒体一括,要注意(大),競合ATS確認,11,11.2%,0.42x,1.60x,0.89x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[政府系・系統金融機関]1.60x｜規模[5000-1万名]0.89x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込11.2%
江田島市役所,0823-43-1111,,官公庁・警察,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,11,11.2%,0.42x,0.73x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[官公庁・警察]0.73x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込11.2%
ＬａＢｒｅｚｚａＢａｓｈａｍｉｃｈｉ,045-228-8418,,旅行,100～300人未満,36～40名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,11,11.3%,0.42x,1.00x,1.12x,1.41x,3,経路[コールド媒体一括]0.42x｜業種[旅行]1.00x｜規模[100-300名]1.12x｜新卒採用[31-50名]1.41x｜ミニマム/ミドル｜成約見込11.3%
株式会社広島銀行,082-247-5151,,金融総合グループ,2千～5千人未満,51～100名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,11,10.9%,0.42x,1.00x,1.15x,1.32x,3,経路[コールド媒体一括]0.42x｜業種[金融総合グループ]1.00x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込10.9%
豊田通商株式会社,03-4306-3333,,総合商社,2千～5千人未満,51～100名,04：ジャッジ,コールド媒体一括,要注意(大),競合ATS確認,11,10.9%,0.42x,1.00x,1.15x,1.32x,3,経路[コールド媒体一括]0.42x｜業種[総合商社]1.00x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込10.9%
とうかつ中央農業協同組合,047-361-2201,saiyou@ja-toukatsuchuou.or.jp,農業協同組合（JA金融機関含む）,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込9.5%
株式会社ギガス,052-726-9001,gigas-saiyo@ksdenki.jp,専門店（家電・OA機器）,1千～2千人未満,36～40名,04：ジャッジ,コールド媒体一括,有効(上限),スタンダード提案,10,9.6%,0.42x,0.73x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[専門店（家電・OA機器）]0.73x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込9.6%
株式会社トータル保険サービス,03-3243-5221,,生命保険,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,10.2%,0.42x,0.67x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[生命保険]0.67x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込10.2%
株式会社山田債権回収管理総合事務所,045-325-3912,recruit0223@yamada-servicer.co.jp,コンサルタント・専門コンサルタント,100～300人未満,11～15名,01：新規,その他タグ,主戦場(スイート),ミニマム/ミドル,10,10.0%,1.22x,0.28x,1.12x,1.52x,4,経路[その他タグ]1.22x｜業種[コンサルタント・専門コンサルタント]0.28x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込10.0%
京都丹ノ国農業協同組合,0773-42-2092,jinji@ja-kyotoninokuni.or.jp,農業協同組合（JA金融機関含む）,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込9.5%
玉名農業協同組合,0968-72-5502,jinji@jatamana.or.jp,農業協同組合（JA金融機関含む）,300～500人未満,16～20名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込9.5%
三重トヨタ自動車株式会社,059-226-2181,,商社（自動車・輸送機器）,300～500人未満,6～10名,89：リサイクル,お断り再利用,主戦場(スイート),ミニマム/ミドル,10,9.9%,0.50x,0.53x,1.41x,1.55x,4,経路[お断り再利用]0.50x｜業種[商社（自動車・輸送機器）]0.53x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込9.9%
東京中央農業協同組合,03-3308-5444,,農業協同組合（JA金融機関含む）,300～500人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込9.5%
大阪泉州農業協同組合,072-468-0600,,農業協同組合（JA金融機関含む）,300～500人未満,16～20名,02：担当者未接触,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込9.5%
東京みらい農業協同組合,042-477-0031,jinjika2_mirai@mirai.jatokyo.or.jp,農業協同組合（JA金融機関含む）,300～500人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.7%,0.42x,0.62x,1.41x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込9.7%
東京スマイル農業協同組合,03-5680-8565,,農業協同組合（JA金融機関含む）,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,10,9.5%,0.42x,0.62x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[農業協同組合（JA金融機関含む）]0.62x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込9.5%
日東紡績株式会社〔日東紡〕,03-4582-5020,recruiting@nittobogrp.com,ガラス・セラミックス,500～1千人未満,16～20名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,10,10.4%,0.42x,0.73x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[ガラス・セラミックス]0.73x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込10.4%
日本メディカルネクスト株式会社,03-5781-7802,mchg-saiyo2025@e-recruit.jp,商社（精密・医療機器）,100～300人未満,16～20名,01：新規,その他タグ,主戦場(スイート),ミニマム/ミドル,10,9.6%,1.22x,0.27x,1.12x,1.52x,4,経路[その他タグ]1.22x｜業種[商社（精密・医療機器）]0.27x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込9.6%
