ログインID,アカウント,アカウント納品,アカウント納品日,会社ID,法人名,LINEアカウント登録企業名,基本年間プラン,現在利用プラン,更新前プラン,アップグレードプラン①,アップグレード①開始月,アップグレードプラン②,アップグレード②開始月,Email,LINE@ID,無料開始月,有料開始月,有料終了月,利用期間,作成日,備考欄
949,有効,済み,2023/12/01,1060,株式会社サイネックス,株式会社サイネックス,スタンダード,スタンダード,スタンダード,,,,,career@scinex.co.jp,@828uzdpj,,2026/01,2026/12,0,2023/11/29,20251027MO001
950,有効,済み,2023/12/01,1061,株式会社ハードオフコーポレーション,株式会社ハードオフコーポレーション,スタンダード,スタンダード,スタンダード,,,,,jinji@hardoff.co.jp,@456gxyha,,2026/01,2026/12,0,2023/11/29,20251021MO007
951,有効,済み,2023/12/01,1549,株式会社スズキ自販中部,株式会社スズキ自販中部,ミニマムプラン,ミニマムプラン,ライト,,,,,hamaguchi@j-chubu.sdr.suzuki,@177cnwvl,,2025/12,2026/11,0,2023/11/29,20251003MO010
952,有効,済み,2023/12/01,1548,株式会社プランテック,株式会社プランテック,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@plantec-kk.co.jp,@469tiiil,,2025/12,2026/11,0,2023/11/29,20251021MO005
954,有効,済み,2023/12/01,1652,鹿児島日産自動車株式会社,鹿児島日産自動車株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,yuutarou-kamimura@kagoshima-nissan.co.jp,@334qzfgr,,2026/02,2027/01,0,2023/11/29,20251027MO006
958,有効,済み,2023/12/15,1553,東亜レジン株式会社,東亜レジン株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,1993iino@toaresin.co.jp,@747pgydz,,2025/12,2026/11,0,2023/12/14,20251003MO011
959,有効,済み,2023/12/15,1592,東海興業株式会社,東海興業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@tokaikogyo.co.jp,@399twmwh,,2026/01,2026/12,0,2023/12/14,20250924MO003
964,有効,済み,2024/01/01,1595,香川県農業協同組合,香川県農業協同組合,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,jasaiyou@jakagawaken.jp,@716acpjf,,2026/01,2026/12,0,2023/12/21,紙申込　20251225MO002
965,有効,済み,2024/01/01,1594,生活協同組合コープやまぐち,生活協同組合コープやまぐち,ミニマムプラン,ミニマムプラン,ライト,,,,,haraoka@yamaguchi.coop,@171tylct,,2026/01,2026/12,0,2023/12/25,20251023MO011
966,有効,済み,2023/12/26,1593,生活協同組合しまね,生活協同組合しまね,データ利用プラン,データ利用プラン,ライト,,,,,soumuka@coop-shimane.jp,@004iewde,,2026/01,2026/12,0,2023/12/25,20251107MO004
967,有効,済み,2024/01/01,1311,飛騨市,飛騨市役所,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@city.hida.lg.jp,@351icecy,,2026/04,2027/03,0,2023/12/25,20260327MO001
970,有効,済み,2024/01/04,1596,マツハヤ・コーポレーション株式会社,マツハヤ・コーポレーション株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,hirose.michiko@matsuhaya.com,@998cmqim,,2026/01,2026/12,0,2024/01/04,20251028MO011
971,有効,済み,2024/01/15,1598,イプソス株式会社,イプソス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jp-career@ipsos.com,@036lizbu,,2026/01,2026/12,0,2024/01/05,20251022MO005
972,有効,済み,2024/01/15,1651,株式会社荒木組,株式会社荒木組,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@arakigumi.com,@573fkoog,,2026/02,2027/01,0,2024/01/05,20251027MO005
973,有効,済み,2024/01/04,1657,株式会社オリバー,株式会社オリバー,ミドルプラン,ミドルプラン,ライトプラン700,,,,,iida@oliver-reform.jp,@086dsrlf,,2026/02,2027/01,0,2024/01/10,20250919MO002
974,有効,済み,2024/01/15,1597,中電配電サポート株式会社,中電配電サポート株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyo@chuden-hs.co.jp,@282ycwrs,,2026/01,2026/12,0,2024/01/12,20251009MO006
975,有効,済み,2024/01/15,1599,株式会社WAY OF LIFE,株式会社鷲見製材,ミニマムプラン,ミニマムプラン,ライト,,,,,k-ushimaru@hidamari-home.jp,@874gohek,,2026/01,2026/12,0,2024/01/15,20251204MO001
978,有効,済み,2024/02/01,1653,若井ホールディングス株式会社,若井ホールディングス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@wakaisangyo.co.jp,@231ltzid,,2026/02,2027/01,0,2024/01/19,20251201MO002
979,有効,済み,2024/02/01,1656,愛眼株式会社,愛眼株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,t-saiyo@aigan.co.jp,@270nqicg,,2026/02,2027/01,0,2024/01/26,20251021MO003
983,有効,済み,2024/02/01,1655,株式会社ソフトウェアコントロール,株式会社ソフトウェアコントロール,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@scnet.co.jp,@937bdnzm,,2026/02,2027/01,0,2024/01/29,20260105MO002
984,有効,済み,2024/02/01,1654,ピジョンハーツ株式会社,ピジョンハーツ株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,ph.saiyou@pigeon.com,@269bsrur,,2026/02,2027/01,0,2024/01/29,20251027MO007
987,有効,済み,2024/02/01,1704,株式会社メイテツコム,株式会社メイテツコム,ミドルプラン,ミドルプラン,ライトプラン900,,,,,saiyou@meitetsucom.co.jp,@198zkgyi,,2026/03,2027/02,0,2024/01/29,20251205MO002
993,有効,済み,2024/02/15,1702,株式会社グッドライフケア東京,株式会社グッドライフケア,ミドルプラン,ミドルプラン,ライトプラン700,,,,,03new_recruit-ml@goodlifecare.co.jp,@464oqrrx,,2026/03,2027/02,0,2024/02/14,20251106MO011
995,有効,済み,2024/03/01,1671,株式会社UACJトレーディング,株式会社UACJトレーディング,ミニマムプラン,ミニマムプラン,ライト,,,,,nishida-takaaki@utr.uacj-group.com,@858jxdww,,2026/03,2027/02,0,2024/02/27,20250804MO005
996,有効,済み,2024/03/01,1701,一般社団法人上尾中央医科グループ協議会,一般社団法人上尾中央医科グループ協議会,ミドルプラン,ミドルプラン,ライトプラン700,,,,,amg_recruit@amg.or.jp,@587pokll,,2026/03,2027/02,0,2024/02/28,20251113MO003
997,有効,済み,2024/03/01,1672,株式会社第一技研,株式会社第一技研,ミニマムプラン,ミニマムプラン,ライト,,,,,soumubu-4@dig-net.co.jp,@668myjwa,,2026/03,2027/02,0,2024/02/28,20251117MO006
998,有効,済み,2024/03/01,1673,株式会社ニホンゲンマ,株式会社ニホンゲンマ,ミニマムプラン,ミニマムプラン,ライト,,,,,j-somu@genma.co.jp,@636geklq,,2026/03,2027/02,0,2024/02/28,20251209MO002
999,有効,済み,2024/03/01,1306,株式会社ソユー,株式会社ソユー,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyou@soyu-net.co.jp,@859wfdlu,,2026/04,2027/03,0,2024/02/28,20251118MO001
1000,有効,済み,2024/03/01,1715,ハナマルキ株式会社,ハナマルキ株式会社,ミニマムプラン,ミニマムプラン,スタンダード,,,,,saiyo@hanamaruki.co.jp,@336ewnee,,2026/04,2027/03,0,2024/02/29,20260206MO003
1003,有効,済み,2024/03/01,1699,株式会社アドテックプラズマテクノロジー,株式会社アドテックプラズマテクノロジー,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,m-doi@adtec-rf.co.jp,@985fknai,,2026/03,2027/02,0,2024/02/29,20251110MO001
1005,有効,済み,2024/03/01,1676,株式会社キムラ,株式会社キムラ,ミニマムプラン,ミニマムプラン,ライト,,,,,somujinji@kimuranet.jp,@272txwjp,,2026/03,2027/02,0,2024/02/29,20251106MO012
1006,有効,済み,2024/03/01,1675,大分県信用組合,大分県信用組合,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@oita-kenshin.co.jp,@528biyen,,2026/03,2027/02,0,2024/02/29,20251110MO005
1008,有効,済み,2024/03/01,1703,共和観光株式会社,共和観光株式会社,データ利用プラン,データ利用プラン,ライト,,,,,y-unno@kyowa-kanko.co.jp,@180efusj,,2026/03,2027/02,0,2024/02/29,20251110MO006
1010,有効,済み,2024/03/01,1674,福井県民生活協同組合,福井県民生活協同組合,ミニマムプラン,ミニマムプラン,ライト,,,,,hasebe-00969@fukuicoop.or.jp,@232yahuo,,2026/03,2027/02,0,2024/02/29,20251107MO002
1016,有効,済み,2024/03/01,1677,深川養鶏農業協同組合,深川養鶏農業協同組合,データ利用プラン,データ利用プラン,ライト,,,,,t-fujibe@chosyudori.or.jp,@278zhtwj,,2026/03,2027/02,0,2024/03/01,20260109MO002
1018,有効,済み,2024/03/15,1678,株式会社前澤エンジニアリングサービス,株式会社前澤エンジニアリングサービス,ミニマムプラン,ミニマムプラン,ライト,,,,,mes_saiyou@maezawa.co.jp,@016tbuns,,2026/03,2027/02,0,2024/03/07,20251215MO002
1020,有効,済み,2024/03/14,1309,株式会社CSTホールディングス,株式会社ＣＳＴホールディングス,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@chunagon.co.jp,@157klblf,,2026/04,2027/03,0,2024/03/08,20251202MO004
1021,有効,済み,2024/03/25,1310,株式会社キョウデン,株式会社キョウデン,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,recruit@kyoden.co.jp,@937flzei,,2026/04,2027/03,0,2024/03/14,20251215MO007
1022,有効,済み,2024/05/01,1345,アルプス薬品工業株式会社,アルプス薬品工業株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,t-imai@alps-pharm.co.jp,@182kgyxr,,2026/05,2027/04,0,2024/03/15,20260129MO004
1023,有効,済み,2024/04/01,1312,金下建設株式会社,金下建設株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,hhoriguchi@kaneshita.co.jp,@054miulf,,2026/04,2027/03,0,2024/03/27,20251215MO008
1024,有効,済み,2024/04/01,1347,岡崎通運株式会社,岡崎通運株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji1@okatsu.jp,@010ebruj,,2026/05,2027/04,0,2024/03/27,20260129MO005
1029,有効,済み,2024/04/01,1315,社会福祉法人大田幸陽会,社会福祉法人大田幸陽会,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,recruit@ota-koyokai.or.jp,@283zqvdx,,2026/04,2027/03,0,2024/04/02,20251202MO006
1031,有効,済み,2024/04/22,1349,臼井国際産業株式会社,臼井国際産業株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@usui.co.jp,@968gadyn,,2026/05,2027/04,0,2024/04/22,20260402MO002
1032,有効,済み,2024/05/01,1369,日本ガスコム株式会社,日本ガスコム株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyou@n-gascom.co.jp,@007cbeuc,,2026/06,2027/05,0,2024/04/24,20260218MO004
1033,有効,済み,2024/05/01,1350,株式会社八木熊,株式会社八木熊,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,soumu@yagikuma.co.jp,@111dcbew,,2026/05,2027/04,0,2024/04/24,20260127MO002
1034,有効,済み,2024/05/01,1371,大塚テクノ株式会社,大塚テクノ株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,Hachiya.Juri@otsuka.jp,@960xwets,,2026/06,2027/05,0,2024/04/24,20260218MO003
1035,有効,済み,2024/05/01,1370,高知県農業協同組合,高知県農業協同組合,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,ja-saiyo@ja-kochi.or.jp,@639nbdzb,,2026/06,2027/05,0,2024/04/24,20260305MO001
1036,有効,済み,2024/05/01,1351,マリモ電子工業株式会社, マリモ電子工業株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji-section@marimo-el.co.jp,@233lnqnn,,2026/05,2027/04,0,2024/04/25,20260130MO007
1037,有効,済み,2024/05/01,1352,尾道造船株式会社,尾道造船株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@onozo.co.jp,@161jjpbd,,2026/05,2027/04,0,2024/04/30,20260129MO006
1038,有効,済み,2024/05/01,1353,ATS株式会社,ATEC GROUP,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,r-higuchi@atsystem.co.jp,@577hwmif,,2026/05,2027/04,0,2024/04/30,20260224MO005
1041,有効,済み,2024/06/03,1379,株式会社フンドーダイ,株式会社フンドーダイ,データ利用プラン,データ利用プラン,データ利用プラン,,,,,soumu@fundodai.jp,@366rphbc,,2026/06,2027/05,0,2024/05/30,20260130MO006
1042,有効,済み,2024/06/03,1727,株式会社合田工務店,株式会社合田工務店,ミドルプラン,スタンダード,ミドルプラン,スタンダード,2026/06,,,goda-saiyo@goda.co.jp,@777xfkrk,,2026/06,2027/05,0,2024/05/30,20260309MO001　アップグレード：20260622MO003
1043,有効,済み,2024/06/17,1372,山本建設株式会社,山本建設株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyou-y@yamamotokensetu.co.jp,@726gdaxc,,2026/06,2027/05,0,2024/05/30,20260325MO004
1045,有効,済み,2024/06/03,1373,株式会社片山組,株式会社片山組,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,recruit@katayamagumi.co.jp,@935dburc,,2026/06,2027/05,0,2024/05/31,20260306MO001
1047,有効,済み,2024/06/20,1386,ニデックアドバンステクノロジー株式会社,ニデックアドバンステクノロジー株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,natc-jobsinfo@nidec.com,@380hrfyh,,2026/07,2027/06,1,2024/06/20,20260311MO009
1048,有効,済み,2024/07/01,1387,株式会社マツモト,株式会社マツモト,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,matsumoto_jinji_komiya@yahoo.co.jp,@442kzcec,,2026/07,2027/06,1,2024/06/26,20260423MO001
1050,有効,済み,2024/07/01,1466,株式会社ツルヤ,株式会社ツルヤ,ミニマムプラン,ミドルプラン,ライト,ミドルプラン,2025/10,,,saiyou@tsuruya-corp.co.jp,@388scrbw,,2025/08,2026/07,0,2024/06/26,"20250430MO003,プランアップ：20250911MO001"
1052,有効,済み,2024/07/01,1389,株式会社植木組,株式会社植木組,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,ueki-jinji@uekigumi.co.jp,@974pxffl,,2026/07,2027/06,1,2024/06/26,20260326MO008
1054,有効,済み,2024/07/16,1414,株式会社セブンサービス企画装飾,株式会社セブンサービス企画装飾,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@7service.net,@305mrrli,,2025/08,2026/07,0,2024/07/12,20250424MO002
1056,有効,済み,2024/07/16,1468,株式会社香山組,株式会社香山組,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,kym-jinji@kayama-corp.jp,@143zhuws,,2025/10,2026/09,0,2024/07/12,20250625MO001
1057,有効,済み,2024/07/16,1415,愛媛トヨタ自動車株式会社,愛媛トヨタ自動車株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@ehime-toyota.co.jp,@620gzsmp,,2025/08,2026/07,0,2024/07/12,20250430MO005
1059,有効,済み,2024/08/01,1418,スガノ農機株式会社,スガノ農機株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,s-recruit@sugano-net.co.jp,@430egwfw,,2025/08,2026/07,0,2024/07/29,20250501MO003
1060,有効,済み,2024/08/01,1438,丸井織物株式会社,丸井織物株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@maruig.co.jp,@426bhpwb,,2025/09,2026/08,0,2024/07/29,20250512MO001
1062,有効,済み,2024/09/02,1469,名古屋スバル自動車株式会社,東海地区スバルグループ採用担当,ミドルプラン,ミドルプラン,ライト,,,,,funahashi.sayuri@tokai.subaru.co.jp,@718aieuy,,2025/10,2026/09,0,2024/07/30,20250714MO003
1063,有効,済み,2024/08/01,1439,株式会社大紀アルミニウム工業所,株式会社大紀アルミニウム工業所,データ利用プラン,データ利用プラン,ライト,,,,,komatsu@dik-net.com,@956ksdxa,,2025/09,2026/08,0,2024/07/31,20250611MO002
1064,有効,済み,2024/08/16,1416,株式会社ジェピコ,株式会社 ジェピコ,ミニマムプラン,ミニマムプラン,ライト,,,,,a_inaba@jepico.co.jp,@001beddk,,2025/08,2026/07,0,2024/08/06,20250424MO003
1065,有効,済み,2024/08/23,1417,株式会社コスギ不動産ホールディングス,株式会社コスギ不動産,ミニマムプラン,ミニマムプラン,ライト,,,,,r-nishiyori@kosugi-f.com,@356dcxsb,,2025/08,2026/07,0,2024/08/21,20250501MO002
1067,有効,済み,2024/09/02,1440,東栄ホームサービス株式会社,東栄ホームサービス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,rio-mineshima@touei.co.jp,@561kznff,,2025/09,2026/08,0,2024/08/27,20250519MO004
1068,有効,済み,2024/09/02,1441,JESCOホールディングス株式会社, ＪＥＳＣＯホールディングス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@jesco.co.jp,@455jmeto,,2025/09,2026/08,0,2024/08/27,20250507MO002
1070,有効,済み,2024/09/02,1442,日本リック株式会社,日本リック株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@nipponrick.co.jp,@061rmmru,,2025/09,2026/08,0,2024/08/27,20250609MO004
1071,有効,済み,2024/09/02,1216,ナカザワ建販株式会社,ナカザワホールディングス株式会社,スタンダード,スタンダード,スタンダード,,,,,nakazawa@ovo-c.com,@379emuss,,2025/10,2026/09,0,2024/08/27,20250430MO006
1072,有効,済み,2024/09/02,1443,西部ゴム株式会社,西部ゴム株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@seibugomu.co.jp,@901aumlt,,2025/09,2026/08,0,2024/08/27,20250415MO002
1073,有効,済み,2024/09/18,1470,岩田産業株式会社,岩田産業株式會社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,soumu8@iwatasangyo.co.jp,@307kqtow,,2025/10,2026/09,0,2024/09/17,20250627MO004
1074,有効,済み,2024/09/18,1503,内外日東株式会社,内外日東株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@naigainitto.com,@434jrbik,,2025/11,2026/10,0,2024/09/17,20250630MO001
1075,有効,済み,2024/09/27,1444,株式会社ビッグ・エー,株式会社ビッグ・エー,ミニマムプラン,ミニマムプラン,ライト,,,,,tada-koko@aeonpeople.biz,@026iswmq,,2025/09,2026/08,0,2024/09/25, 20250508MO001
1077,有効,済み,2024/10/01,1504,株式会社サンソウシステムズ,株式会社サンソウシステムズ,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,jinji@sansou.co.jp,@501qyfqc,,2025/11,2026/10,0,2024/09/26,20250807MO006
1079,有効,済み,2024/11/01,1496,株式会社ハウスクリニック,株式会社ハウスクリニック,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit-group@houseclinic.co.jp,@434oqlnf,,2025/11,2026/10,0,2024/10/03,20250417MO002
1082,有効,済み,2024/11/01,1500,ミネベアアクセスソリューションズ株式会社,ミネベアアクセスソリューションズ株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyo@minebea-as.com,@767rwxcn,,2025/11,2026/10,0,2024/10/22,20250605MO001
1083,有効,済み,2024/11/01,1498,大久自動車販売株式会社,大久自動車販売株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,r.horikoshi@daiq.co.jp,@608xfjto,,2025/11,2026/10,0,2024/10/22,20250911MO002
1085,有効,済み,2024/11/01,1497,株式会社ホテルゆのくに,株式会社ホテルゆのくに,ミニマムプラン,ミニマムプラン,ライト,,,,,yukiko@yunokuni.jp,@936jxeza,,2025/11,2026/10,0,2024/10/25,20250807MO003
1086,有効,済み,2024/11/01,1499,株式会社冨士電機,株式会社冨士電機,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,keiri@e-fuji.co.jp,@760rgkxv,,2025/11,2026/10,0,2024/10/25,20250807MO004
1087,有効,済み,2024/11/01,1505,森久保薬品株式会社,森久保薬品・森久保CAメディカル,ミニマムプラン,ミニマムプラン,ライト,,,,,info@morikubo.co.jp,@669sjssj,,2025/11,2026/10,0,2024/10/28,20250627MO003
1088,有効,済み,2024/11/01,1528,特定非営利活動法人（ＮＰＯ法人）ピースウィンズ・ジャパン,特定非営利活動法人ピースウィンズ・ジャパン,データ利用プラン,データ利用プラン,ライト,,,,,wanko_job@peace-winds.org,@067mtsfg,,2025/11,2026/10,0,2024/10/29,20250820MO001
1090,有効,済み,2024/11/18,1506,株式会社グローバル・リンク・マネジメント,株式会社グローバル・リンク・マネジメント,ミニマムプラン,ミニマムプラン,ライト,,,,,ono-c@global-link-m.com,@495xarhy,,2025/11,2026/10,0,2024/11/05,20250807MO008
1091,有効,済み,2024/11/15,1501,株式会社中央倉庫,株式会社中央倉庫,ミニマムプラン,ミニマムプラン,ライト,,,,,i-fukui@chuosoko.co.jp,@217vgfch,,2025/11,2026/10,0,2024/11/12,20250730MO002
1092,有効,済み,2024/11/15,1246,株式会社オープンアップコンストラクション,株式会社オープンアップコンストラクション,スタンダード,スタンダード,,,,,,jinzai@openup-construction.co.jp,@361clxxh,,2026/01,2026/12,0,2024/11/13,20250709MO004
1093,有効,済み,2024/11/18,1502,新産住拓株式会社,新産住拓株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@shinsan.com,@946bwqno,,2025/11,2026/10,0,2024/11/15,20250514MO005
1097,有効,済み,2024/12/02,1551,天龍ホールディングス株式会社,天龍グループ,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyou@tenryu-hd.co.jp,@973kgkbi,,2025/12,2026/11,0,2024/11/27,20250710MO003
1098,有効,済み,2024/12/02,1552,株式会社ILホールディングス,ILグループ,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,em-adopt@group-il.com,@778mwxzs,,2025/12,2026/11,0,2024/11/27,20250828MO008
1100,有効,済み,2024/12/02,1554,名糖運輸株式会社,名糖運輸グループ採用アカウント,ミニマムプラン,ミニマムプラン,ライトプラン700,,,,,hn.jinji@cflogi.co.jp,@583lzihx,,2025/12,2026/11,0,2024/11/27,20250909MO002
1104,有効,済み,2024/12/02,1550,株式会社かわでん,株式会社かわでん,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyo@mail-kawaden.co.jp,@059msxvq,,2025/12,2026/11,0,2024/11/28,20250828MO004
1105,有効,済み,2024/12/16,1539,株式会社旭物産,株式会社旭物産,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@asahibsn.co.jp,@175bwrwb,,2025/12,2026/11,0,2024/12/11,20250828MO003
1107,有効,済み,2025/01/07,1571,昭和フロント株式会社,昭和フロント株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,shouwaf07@sip.sanwa-ss.co.jp,@901hqmkp,,2026/01,2026/12,0,2024/12/25,20250717MO002
1110,有効,済み,2025/01/15,1572,岸本建設株式会社,岸本建設株式会社,データ利用プラン,データ利用プラン,ライト,,,,,jinji-osaka@kishimoto-kensetsu.co.jp,@836zlldh,,2026/01,2026/12,0,2025/01/14,20251112MO002
1113,有効,済み,2025/02/03,1610,株式会社安田物産,株式会社安田物産,ミニマムプラン,ミニマムプラン,ライト,,,,,s-sato@yasuda-bussan.co.jp,@180bjztg,,2026/02,2027/01,0,2025/01/27,20251021MO001
1115,有効,済み,2025/02/10,1279,アイニコグループ株式会社,アイニコグループ株式会社,ミドルプラン,ミドルプラン,ミドルプラン,,,,,saiyou@kaedekoumuten.jp,@719btnvp,,2026/03,2027/02,0,2025/02/06,20251117MO005
1116,有効,済み,2025/02/17,1613,両毛丸善株式会社,両毛丸善株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,ki-ishida@ryomomaruzen.co.jp,2006893544,,2026/02,2027/01,0,2025/02/12,20251028MO013
1117,有効,済み,2025/02/17,1611,株式会社島田商会,株式会社島田商会,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@shimada-shokai.co.jp,2006897526,,2026/02,2027/01,0,2025/02/13,20251020MO004
1118,有効,済み,2025/02/17,1284,社会福祉法人こうほうえん,社会福祉法人こうほうえん,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,tokyo@kohoen.jp,@920tmlct,,2026/04,2027/03,0,2025/02/14,20251203MO003
1119,有効,済み,2025/02/25,1615,日本コンピューター株式会社,日本コンピューター株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,fresh@nck.co.jp,@006aqyaq,,2026/02,2027/01,0,2025/02/20,20251028MO014
1120,有効,済み,2025/02/25,1614,生活協同組合コープかごしま,生活協同組合コープかごしま,ミニマムプラン,ミニマムプラン,ライト,,,,,arizono-masahiko@kyushu.coop,@889dxqyy,,2026/02,2027/01,0,2025/02/20,20251021MO008
1121,有効,済み,2025/03/14,1412,川口土木建築工業株式会社,川口土木建築工業株式会社,ミドルプラン,ミドルプラン,ミドルプラン,,,,,naoya.murakami@kawado.co.jp,@820rlydk,,2026/06,2027/05,0,2025/03/13,20260427MO003
1122,有効,済み,2025/03/25,1298,オダケホーム株式会社,オダケホーム株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,kanribu@odakehome.co.jp,@660xotgh,,2026/03,2027/02,0,2025/03/24,20251104MO007
1123,有効,済み,,1299,社会福祉法人桃林会,社会福祉法人桃林会,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyou@yuikuen.com,@272bnnjf,,2026/04,2027/03,0,2025/03/28,20260304MO007
1124,有効,済み,2025/04/01,1300,株式会社オンワードコーポレートデザイン,株式会社オンワードコーポレートデザイン,ミドルプラン,ミドルプラン,ミドルプラン,,,,,m-asahara@onward.co.jp,@566avhbv,,2026/04,2027/03,0,2025/03/29,20251226MO004
1125,有効,済み,2025/04/01,1301,株式会社国大グループホールディングス,株式会社国大グループホールディングス,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@kokudai.com,@913mycej,,2026/05,2027/04,0,2025/03/31,20251217MO001
1127,有効,済み,2025/04/01,1303,愛知スズキ販売株式会社,愛知スズキ販売株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,07015005@atg.co.jp,@276xdmeb,,2026/04,2027/03,0,2025/03/31,20260113MO001
1128,有効,済み,2025/04/01,1304,NDSインフォス株式会社,NDSインフォス株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@nds-infos.co.jp,@510eeovv,,2026/05,2027/04,0,2025/03/31,20260129MO009
1129,有効,済み,2025/04/04,1336,株式会社スズカ未来,株式会社スズカ未来,ミニマムプラン,ミニマムプラン,,,,,,szk-recruit@suzukamirai.jp,@120nsvfl,,2026/04,2027/03,0,2025/04/02,20251215MO001
1130,有効,済み,2025/04/09,1338,鳥取県生活協同組合,鳥取県生活協同組合 採用アカウント,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,iwata.hi@tottori.coop,@925vfbye,,2026/04,2027/03,0,2025/04/08,20251203MO002
1131,有効,済み,2025/04/15,1340,株式会社波多野工務店,波多野工務店　採用,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,kushida@hatanokoumuten.co.jp,@241wstxn,,2026/04,2027/03,0,2025/04/14,20260120MO001
1132,有効,済み,2025/04/17,1714,日経印刷株式会社,日経印刷,ミドルプラン,ミドルプラン,ミドルプラン,,,,,okamoto@nik-prt.co.jp,@167dldlp,,2026/07,2027/06,1,2025/04/15,20260220MO002
1133,有効,済み,2025/05/01,1342,株式会社ナ・デックス,株式会社ナ・デックス,ミニマムプラン,ミニマムプラン,,,,,,haruka_ishimura@nadex.co.jp,@720tsaui,,2026/06,2027/05,0,2025/04/15,20260205MO001
