法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
中部フーズ株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,100～300人未満,07:100-300,16～20名,5:16-20,岐阜県,中部・北陸,0572-29-1610,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,その他リスト,05：コンバート,chubufoods.co.jp,独自ドメイン,個人名/その他,,○,
株式会社かいげつ,レジャー・アミューズメントサービス,外食・サービス・レジャー,100～300人未満,07:100-300,,,兵庫県,近畿,0799-22-1102,,,,,ミドルプラン,ミドルプラン,スタンダード,あり,,,2025/12,2026/11,11,2023,,05：コンバート,gmail.com,フリーメール,個人名/その他,,○,
南国殖産株式会社,商社,商社・卸,1千～2千人未満,10:1000-2000,26～30名,6:21-30,鹿児島県,九州・沖縄,099-250-5214,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2023,,05：コンバート,nangoku-group.com,独自ドメイン,人事・総務,,○,
株式会社キャナリィ・ロウ,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2023,,,canneryrow.co.jp,独自ドメイン,個人名/その他,あり,,
株式会社島屋ホールディングス,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2023,,,shimayag.com,独自ドメイン,採用専用,あり,,
バンネットワーク株式会社,情報処理,IT・ソフトウェア,,,3～5名,2:3-5,京都府,近畿,075-212-1121,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2023,マイナビ掲載リスト,99：アーカイブ,van-nw.jp,独自ドメイン,採用専用,あり,○,
鈴与レンタカー株式会社,金融・保険,金融・保険,100～300人未満,07:100-300,3～5名,2:3-5,静岡県,中部・北陸,054-275-2011,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2023,,99：アーカイブ,suzuyo-rentacar.jp,独自ドメイン,個人名/その他,,○,
山口産業株式会社,不動産・建設・設備,建設・不動産,50～100人未満,06:50-100,6～10名,3:6-10,佐賀県,九州・沖縄,0952-74-2525,,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/07,2027/06,11,2023,アウトバウンド架電,99：アーカイブ,gmail.com,フリーメール,人事・総務,,○,
かがつう株式会社,メーカー （機械・電気・電子）,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,石川県,中部・北陸,076-289-3131,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/08,2026/07,11,2023,,05：コンバート,kagainc.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ナカキン,メーカー （機械・電気・電子）,製造・メーカー,300～500人未満,08:300-500,3～5名,2:3-5,大阪府,近畿,072-859-8938,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2023,,05：コンバート,nakakin.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ニデック,メーカー（素材・食品・医薬品他),製造・メーカー,1千～2千人未満,10:1000-2000,36～40名,7:31-50,静岡県,中部・北陸,0533-67-8815,上場,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/08,2026/07,11,2023,,05：コンバート,nidek.co.jp,独自ドメイン,人事・総務,,○,
住電装プラテック株式会社,メーカー （機械・電気・電子）,製造・メーカー,500～1千人未満,09:500-1000,3～5名,2:3-5,静岡県,中部・北陸,0550-87-1714,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2023,その他リスト,05：コンバート,sws.com,独自ドメイン,個人名/その他,,○,
名阪急配株式会社,運輸・交通・物流・倉庫,運輸・物流,500～1千人未満,09:500-1000,不明,,愛知県,中部・北陸,0568-85-8125,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2023,,99：アーカイブ,meihankyuhai.co.jp,独自ドメイン,採用専用,,○,
リケンＮＰＲ株式会社,,,,,,,,,,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2023,,,npr-riken.co.jp,独自ドメイン,個人名/その他,,,
株式会社大窪鐵工所,,,118,07:100-300,6～10名,3:6-10,兵庫県,近畿,078-944-0005,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2023,,05：コンバート,okubotk.co.jp,独自ドメイン,人事・総務,,○,
株式会社JR西日本ヴィアイン,レジャー・アミューズメントサービス,外食・サービス・レジャー,不明,,11～15名,4:11-15,大阪府,近畿,06-4960-8245,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2023,,05：コンバート,dailyservice.co.jp,独自ドメイン,採用専用,,○,
山梨スズキ販売株式会社,商社,商社・卸,100～300人未満,07:100-300,,,山梨県,中部・北陸,055-224-2121,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,,05：コンバート,yamanashi-s.sdr.suzuki,独自ドメイン,人事・総務,,○,
株式会社イーエムシステムズ,ソフトウエア,IT・ソフトウェア,,,31～35名,7:31-50,東京都,関東,03-3432-5144,,,,,ミニマムプラン,ミドルプラン,ライトプラン700,あり,あり,,2025/09,2026/08,11,2023,マイナビ掲載リスト,99：アーカイブ,emsystems.co.jp,独自ドメイン,採用専用,あり,○,
株式会社西野物産,メーカー（素材・食品・医薬品他),製造・メーカー,100～300人未満,07:100-300,,,大分県,九州・沖縄,0979-22-2230,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2023,,05：コンバート,nishino-bussan.com,独自ドメイン,個人名/その他,,○,
株式会社ユーコム(富山本社),,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2023,,,ucm.co.jp,独自ドメイン,採用専用,あり,,
株式会社システムソフト,ソフトウエア,IT・ソフトウェア,50～100人未満,06:50-100,11～15名,4:11-15,福岡県,九州・沖縄,092-732-1515,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,マイナビ掲載リスト,99：アーカイブ,systemsoft.co.jp,独自ドメイン,採用専用,,○,
株式会社浜田,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,30～50人未満,05:30-50,3～5名,2:3-5,大阪府,近畿,072-332-2261,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,,99：アーカイブ,kkhamada.co.jp,独自ドメイン,採用専用,,○,
株式会社ワールドツール,専門店（自動車関連）,流通・小売,100～300人未満,07:100-300,3～5名,2:3-5,埼玉県,関東,048-501-7871,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,マイナビ掲載リスト,99：アーカイブ,astro-p.co.jp,独自ドメイン,採用専用,,○,
株式会社近藤組,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,,,愛知県,中部・北陸,0566-36-8550,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,,05：コンバート,kondo.co.jp,独自ドメイン,採用専用,,○,
株式会社三慶物産,,,,,3～5名,2:3-5,山口県,中国・四国,083-232-2128,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2023,その他リスト,05：コンバート,psj777.co.jp,独自ドメイン,人事・総務,,○,
株式会社ジェイテクトエレクトロニクス,,,,,,,東京都,関東,0423413111,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2023,,05：コンバート,electronics.jtekt.co.jp,独自ドメイン,人事・総務,,○,
群馬トヨペット株式会社,商社,商社・卸,500～1千人未満,09:500-1000,,,群馬県,関東,027-251-5111,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2023,,05：コンバート,g-toyopet.co.jp,独自ドメイン,個人名/その他,,○,
社会福祉法人長岡福祉協会,介護・保育・医療法人等,医療・介護・福祉,1千～2千人未満,10:1000-2000,,,新潟県,中部・北陸,0258-46-6053,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/10,2026/09,11,2023,,05：コンバート,nagaokafk.com,独自ドメイン,採用専用,,○,
株式会社ラネット,,,,,51～100名,8:51-100,東京都,関東,03-5911-5431,,,,,スタンダード,スタンダード,スタンダード,,,,2025/10,2026/09,11,2023,,05：コンバート,ranet.bz,独自ドメイン,採用専用,,○,
新晃工業株式会社,機械,製造・メーカー,100～300人未満,07:100-300,16～20名,5:16-20,大阪府,近畿,06-6367-1811,上場,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2023,マイナビ掲載リスト,99：アーカイブ,sinko.co.jp,独自ドメイン,人事・総務,,○,
株式会社アールピーエム,,,,,,,,,9085992269,,,,,ミニマムプラン,ミニマムプラン,ライトプラン700,あり,,,2025/12,2026/11,11,2023,,05：コンバート,rpmedical.co.jp,独自ドメイン,個人名/その他,,○,
株式会社日本エイジェント,不動産,建設・不動産,,,6～10名,3:6-10,愛媛県,中国・四国,089-921-1567,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2023,マイナビ掲載リスト,99：アーカイブ,nihon-agent.co.jp,独自ドメイン,個人名/その他,,○,
埼玉日産自動車株式会社,,,,,21～25名,6:21-30,埼玉県,関東,048-859-5502,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/11,2026/10,11,2023,,05：コンバート,saitama-nissan.co.jp,独自ドメイン,採用専用,,○,
株式会社TERADA,,,,,3～5名,2:3-5,東京都,関東,042-795-1612,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2025/12,2026/11,11,2023,,99：アーカイブ,terada-ele.co.jp,独自ドメイン,採用専用,,○,
株式会社サイネックス,マスコミ・広告・デザイン,マスコミ・広告・印刷,500～1千人未満,09:500-1000,31～35名,7:31-50,大阪府,近畿,06-6766-3339,上場,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2023,,05：コンバート,scinex.co.jp,独自ドメイン,個人名/その他,,○,○
株式会社ハードオフコーポレーション,その他サービス（個人向け）,その他,300～500人未満,08:300-500,,,新潟県,中部・北陸,0254-24-4344,上場,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2023,,05：コンバート,hardoff.co.jp,独自ドメイン,人事・総務,,○,
株式会社スズキ自販中部,商社,商社・卸,300～500人未満,08:300-500,26～30名,6:21-30,愛知県,中部・北陸,052-884-8011,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2023,,05：コンバート,j-chubu.sdr.suzuki,独自ドメイン,個人名/その他,,○,
株式会社プランテック,,,,,6～10名,3:6-10,大阪府,近畿,06-6448-2200,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2023,アウトバウンド架電,99：アーカイブ,plantec-kk.co.jp,独自ドメイン,採用専用,,○,
鹿児島日産自動車株式会社,,,,,11～15名,4:11-15,鹿児島県,九州・沖縄,099-223-8128,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,kagoshima-nissan.co.jp,独自ドメイン,個人名/その他,,○,
東亜レジン株式会社,,,,,11～15名,4:11-15,東京都,関東,03-5302-7151,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/12,2026/11,11,2023,アウトバウンド架電,05：コンバート,toaresin.co.jp,独自ドメイン,個人名/その他,,○,
東海興業株式会社,メーカー （機械・電気・電子）,製造・メーカー,500～1千人未満,09:500-1000,11～15名,4:11-15,愛知県,中部・北陸,0562-44-1500,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2023,,05：コンバート,tokaikogyo.co.jp,独自ドメイン,採用専用,,○,
香川県農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,2千～5千人未満,11:2000-5000,51～100名,8:51-100,香川県,中国・四国,087-825-0207,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/01,2026/12,11,2023,,05：コンバート,jakagawaken.jp,独自ドメイン,採用専用,,○,
生活協同組合コープやまぐち,,,100～300人未満,07:100-300,11～15名,4:11-15,山口県,中国・四国,083-995-3655,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2023,,05：コンバート,yamaguchi.coop,独自ドメイン,個人名/その他,,○,
生活協同組合しまね,流通・小売・物販,流通・小売,100～300人未満,07:100-300,,,島根県,中国・四国,0852-27-0505,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/01,2026/12,11,2023,,05：コンバート,coop-shimane.jp,独自ドメイン,人事・総務,,○,
飛騨市,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,,,city.hida.lg.jp,独自ドメイン,人事・総務,あり,,
マツハヤ・コーポレーション株式会社,商社（通信）,商社・卸,,,6～10名,3:6-10,長崎県,九州・沖縄,095-857-9166,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2024,マイナビ掲載リスト,99：アーカイブ,matsuhaya.com,独自ドメイン,個人名/その他,,○,
イプソス株式会社,,,,,,,東京都,関東,03-6867-8133,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2024,,05：コンバート,ipsos.com,独自ドメイン,個人名/その他,,○,
株式会社荒木組,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,,,岡山県,中国・四国,086-222-6841,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2024,,05：コンバート,arakigumi.com,独自ドメイン,採用専用,,○,
株式会社オリバー,住宅,建設・不動産,300～500人未満,08:300-500,46～50名,7:31-50,千葉県,関東,047-701-5051,,,,,ミドルプラン,ミドルプラン,ライトプラン700,あり,,,2026/02,2027/01,11,2024,マイナビ掲載リスト,99：アーカイブ,oliver-reform.jp,独自ドメイン,個人名/その他,,○,
中電配電サポート株式会社,商社（建材）,商社・卸,500～1千人未満,09:500-1000,11～15名,4:11-15,愛知県,中部・北陸,052-950-7650,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/01,2026/12,11,2024,マイナビ掲載リスト,99：アーカイブ,chuden-hs.co.jp,独自ドメイン,採用専用,,○,
株式会社WAY OF LIFE,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2024,,,hidamari-home.jp,独自ドメイン,個人名/その他,あり,,
若井ホールディングス株式会社,建材・エクステリア,建設・不動産,,,6～10名,3:6-10,大阪府,近畿,06-6783-2080,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2024,,99：アーカイブ,wakaisangyo.co.jp,独自ドメイン,採用専用,,○,
愛眼株式会社,その他ビジネスサービス,人材・専門・公共サービス,,,11～15名,4:11-15,大阪府,近畿,06-6774-5006,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2024,マイナビ掲載リスト,99：アーカイブ,aigan.co.jp,独自ドメイン,採用専用,,○,
株式会社ソフトウェアコントロール,,,100～300人未満,07:100-300,16～20名,5:16-20,大阪府,近畿,06-6337-3501,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2024,,05：コンバート,scnet.co.jp,独自ドメイン,採用専用,,○,
ピジョンハーツ株式会社,,,500～1千人未満,09:500-1000,不明,,東京都,関東,03-3661-4298,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2024,,99：アーカイブ,pigeon.com,独自ドメイン,採用専用,,○,
株式会社メイテツコム,情報システム開発,IT・ソフトウェア,,,11～15名,4:11-15,愛知県,中部・北陸,052-589-2001,,,,,ミドルプラン,ミドルプラン,ライトプラン900,あり,,,2026/03,2027/02,11,2024,,99：アーカイブ,meitetsucom.co.jp,独自ドメイン,採用専用,,○,
株式会社グッドライフケア東京,,,,,6～10名,3:6-10,東京都,関東,03-3537-0790,,,,,ミドルプラン,ミドルプラン,ライトプラン700,あり,,,2026/03,2027/02,11,2024,,99：アーカイブ,goodlifecare.co.jp,独自ドメイン,採用専用,あり,○,
株式会社UACJトレーディング,商社,商社・卸,100～300人未満,07:100-300,3～5名,2:3-5,大阪府,近畿,06-6201-1430,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,その他リスト,05：コンバート,utr.uacj-group.com,独自ドメイン,個人名/その他,,○,
一般社団法人上尾中央医科グループ協議会,介護・保育・医療法人等,医療・介護・福祉,,,51～100名,8:51-100,埼玉県,関東,048-773-1116,,,,,ミドルプラン,ミドルプラン,ライトプラン700,あり,,,2026/03,2027/02,11,2024,,05：コンバート,amg.or.jp,独自ドメイン,採用専用,,○,
株式会社第一技研,メーカー （機械・電気・電子）,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,広島県,中国・四国,0823-32-7565,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,,05：コンバート,dig-net.co.jp,独自ドメイン,人事・総務,,○,
株式会社ニホンゲンマ,化学,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,大阪府,近畿,06-6307-5335,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,,99：アーカイブ,genma.co.jp,独自ドメイン,人事・総務,,○,
株式会社ソユー,アミューズメント,外食・サービス・レジャー,,,6～10名,3:6-10,秋田県,北海道・東北,018-824-5111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2024,マイナビ掲載リスト,99：アーカイブ,soyu-net.co.jp,独自ドメイン,採用専用,,○,
ハナマルキ株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,,,070-7539-5605,,,,,ミニマムプラン,ミニマムプラン,スタンダード,あり,,,2026/04,2027/03,11,2024,,05：コンバート,hanamaruki.co.jp,独自ドメイン,採用専用,,○,
株式会社アドテックプラズマテクノロジー,半導体・電子・電気機器,製造・メーカー,100～300人未満,07:100-300,11～15名,4:11-15,広島県,中国・四国,084-945-1318,上場,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/03,2027/02,11,2024,マイナビ掲載リスト,05：コンバート,adtec-rf.co.jp,独自ドメイン,個人名/その他,,○,
株式会社キムラ,商社（建材・エクステリア）,商社・卸,100～300人未満,07:100-300,6～10名,3:6-10,北海道,北海道・東北,011-721-4311,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,マイナビ掲載リスト,99：アーカイブ,kimuranet.jp,独自ドメイン,人事・総務,,○,
大分県信用組合,信用金庫,金融・保険,300～500人未満,08:300-500,26～30名,6:21-30,大分県,九州・沖縄,097-534-8200,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,,99：アーカイブ,oita-kenshin.co.jp,独自ドメイン,人事・総務,,○,
共和観光株式会社,アミューズメント,外食・サービス・レジャー,100～300人未満,07:100-300,3～5名,2:3-5,長野県,中部・北陸,0263-36-3122,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/03,2027/02,11,2024,マイナビ掲載リスト,99：アーカイブ,kyowa-kanko.co.jp,独自ドメイン,個人名/その他,,○,
福井県民生活協同組合,流通・小売・物販,流通・小売,1千～2千人未満,10:1000-2000,,,福井県,中部・北陸,0776-52-8451,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,,05：コンバート,fukuicoop.or.jp,独自ドメイン,個人名/その他,,○,
深川養鶏農業協同組合,食品,製造・メーカー,,,3～5名,2:3-5,山口県,中国・四国,0837-22-2121,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/03,2027/02,11,2024,マイナビ掲載リスト,05：コンバート,chosyudori.or.jp,独自ドメイン,個人名/その他,,○,
株式会社前澤エンジニアリングサービス,,,100～300人未満,07:100-300,6～10名,3:6-10,埼玉県,関東,048-255-1231,,1985,41,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2024,,05：コンバート,maezawa.co.jp,独自ドメイン,採用専用,,○,○
株式会社CSTホールディングス,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2024,,,chunagon.co.jp,独自ドメイン,人事・総務,,,
株式会社キョウデン,不動産・建設・設備,建設・不動産,10～20人未満,03:10-20,3～5名,2:3-5,京都府,近畿,075-693-0550,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2024,,99：アーカイブ,kyoden.co.jp,独自ドメイン,採用専用,,○,
アルプス薬品工業株式会社,製薬業,その他,300～500人未満,08:300-500,3～5名,2:3-5,岐阜県,中部・北陸,0577-73-2021,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,マイナビ掲載リスト,99：アーカイブ,alps-pharm.co.jp,独自ドメイン,個人名/その他,,○,
金下建設株式会社,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,11～15名,4:11-15,京都府,近畿,0772-46-3151,上場,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2024,,05：コンバート,kaneshita.co.jp,独自ドメイン,個人名/その他,,○,
岡崎通運株式会社,陸運（貨物・バス・タクシー）,運輸・物流,,,3～5名,2:3-5,愛知県,中部・北陸,0564-73-3169,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,マイナビ掲載リスト,99：アーカイブ,okatsu.jp,独自ドメイン,人事・総務,,○,
社会福祉法人大田幸陽会,福祉サービス,医療・介護・福祉,300～500人未満,08:300-500,11～15名,4:11-15,東京都,関東,03-3745-0808,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2024,マイナビ掲載リスト,99：アーカイブ,ota-koyokai.or.jp,独自ドメイン,採用専用,,○,
臼井国際産業株式会社,,,500～1千人未満,09:500-1000,,,静岡県,中部・北陸,0559722111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,,05：コンバート,usui.co.jp,独自ドメイン,採用専用,,○,
日本ガスコム株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2024,,,n-gascom.co.jp,独自ドメイン,採用専用,,,
株式会社八木熊,,,100～300人未満,07:100-300,3～5名,2:3-5,福井県,中部・北陸,0776-22-3300,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,,99：アーカイブ,yagikuma.co.jp,独自ドメイン,人事・総務,,○,
大塚テクノ株式会社,医療機器,その他,,,3～5名,2:3-5,徳島県,中国・四国,088-683-7111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2024,,99：アーカイブ,otsuka.jp,独自ドメイン,個人名/その他,,○,
高知県農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,,,11～15名,4:11-15,徳島県,中国・四国,088-894-5612,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2024,再アプローチ,05：コンバート,ja-kochi.or.jp,独自ドメイン,採用専用,,○,
マリモ電子工業株式会社,ソフトウェア,IT・ソフトウェア,50～100人未満,06:50-100,3～5名,2:3-5,長野県,中部・北陸,0268-27-9644,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,マイナビ掲載リスト,99：アーカイブ,marimo-el.co.jp,独自ドメイン,人事・総務,,○,
尾道造船株式会社,輸送用機器,その他,300～500人未満,08:300-500,3～5名,2:3-5,広島県,中国・四国,0848-37-1111,,1943,83,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,マイナビ掲載リスト,05：コンバート,onozo.co.jp,独自ドメイン,人事・総務,,○,○
ATS株式会社,情報処理,IT・ソフトウェア,,,6～10名,3:6-10,東京都,関東,03-5283-5511,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2024,,99：アーカイブ,atsystem.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社フンドーダイ,食品,製造・メーカー,,,3～5名,2:3-5,,,0570-200-545,,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/06,2027/05,11,2024,,05：コンバート,fundodai.jp,独自ドメイン,人事・総務,,○,
株式会社合田工務店,建設・設備,建設・不動産,300～500人未満,08:300-500,不明,,東京都,関東,03-5843-8075,,,,,ミドルプラン,スタンダード,ミドルプラン,あり,あり,,2026/06,2027/05,11,2024,,99：アーカイブ,goda.co.jp,独自ドメイン,採用専用,,○,
山本建設株式会社,建設業,建設・不動産,50～100人未満,06:50-100,不明,,静岡県,中部・北陸,055-975-4488,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2024,,99：アーカイブ,yamamotokensetu.co.jp,独自ドメイン,採用専用,,○,
株式会社片山組,建設,建設・不動産,50～100人未満,06:50-100,11～15名,4:11-15,東京都,関東,03-3352-0611,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2024,マイナビ掲載リスト,05：コンバート,katayamagumi.co.jp,独自ドメイン,採用専用,,○,
ニデックアドバンステクノロジー株式会社,,,100～300人未満,07:100-300,11～15名,4:11-15,京都府,近畿,075-280-8100,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2024,その他リスト,99：アーカイブ,nidec.com,独自ドメイン,代表窓口,,○,
株式会社マツモト,印刷・印刷関連,マスコミ・広告・印刷,100～300人未満,07:100-300,26～30名,6:21-30,京都府,近畿,075-631-0836,上場,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2024,マイナビ掲載リスト,05：コンバート,yahoo.co.jp,フリーメール,人事・総務,,○,
株式会社ツルヤ,流通・小売・物販,流通・小売,500～1千人未満,09:500-1000,,,長野県,中部・北陸,0267-26-2113,,,,,ミニマムプラン,ミドルプラン,ライト,あり,あり,,2025/08,2026/07,11,2024,,05：コンバート,tsuruya-corp.co.jp,独自ドメイン,採用専用,,○,
株式会社植木組,不動産・建設・設備,建設・不動産,500～1千人未満,09:500-1000,,,,,0120-419-288,上場,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2024,,05：コンバート,uekigumi.co.jp,独自ドメイン,人事・総務,,○,
株式会社セブンサービス企画装飾,その他サービス,その他,,,6～10名,3:6-10,千葉県,関東,047-351-7777,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2024,,05：コンバート,7service.net,独自ドメイン,採用専用,,○,
株式会社香山組,,,50～100人未満,06:50-100,6～10名,3:6-10,大阪府,近畿,06-6483-6100,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/10,2026/09,11,2024,,99：アーカイブ,kayama-corp.jp,独自ドメイン,人事・総務,,○,
愛媛トヨタ自動車株式会社,,,,,,,愛媛県,中国・四国,089-909-5072,,1940,86,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2024,,05：コンバート,ehime-toyota.co.jp,独自ドメイン,採用専用,,○,○
